村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Division1,Subdivision - Agri.,Subdivision - Misc.,Subdivision - Service,Division2,Subdivision - Household,Unit,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0001,太平店村志,耕地面积 Cultivated Area,,,,,,,亩 mu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3232,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0001,太平店村志,粮食总产量 Total Grain Output,,,,,,,吨 tons,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0001,太平店村志,人均收入 Per Capita Income,,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2565,2594,n/a,n/a,n/a,n/a,n/a,n/a,3000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0002,叶店村志,总产值 Gross Output Value,总 Total,,,,,,万元 10K yuan,n/a,n/a,n/a,n/a,n/a,n/a,6.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.9,n/a,n/a,n/a,n/a,n/a,572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,749.5,n/a,n/a,n/a,n/a,n/a,n/a,1870.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0002,叶店村志,集体经济收入 Collective Economic Income,总 Total,,,,,,万元 10K yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,n/a,n/a,n/a,n/a,0.5,n/a,5,n/a,n/a,20,40,200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0002,叶店村志,耕地面积 Cultivated Area,,,,,,,亩 mu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2851,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0002,叶店村志,粮食总产量 Total Grain Output,,,,,,,万斤 10K jin,n/a,n/a,n/a,n/a,n/a,n/a,49.65,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,69.51,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,228.08,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,256.59,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0002,叶店村志,人均收入 Per Capita Income,,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,39,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,42,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,85,n/a,n/a,n/a,n/a,n/a,263,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2400,3022,n/a,n/a,n/a,4800,n/a,n/a,6000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0002,叶店村志,人均居住面积 Per Capita Living Space,,,,,,,平方米 square meters,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0003,马鞭田村志,总产值 Gross Output Value,总 Total,,,,,,万元 10K yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1800,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0003,马鞭田村志,耕地面积 Cultivated Area,,,,,,,亩 mu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2150,n/a,n/a,n/a,n/a,n/a,2830,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3140,n/a,n/a,n/a,n/a,n/a,n/a,3262.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0003,马鞭田村志,粮食总产量 Total Grain Output,,,,,,,万吨 10K tons,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.09,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0003,马鞭田村志,人均收入 Per Capita Income,,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3250,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
