村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Division1,Subdivision,Start Year,End Year,Data
1,太平店村志,小学在校生 Elementary School Students,,,1960,1968,250
1,太平店村志,小学在校生 Elementary School Students,,,1969,1970,500
1,太平店村志,小学在校生 Elementary School Students,,,1988,1991,350
1,太平店村志,小学在校生 Elementary School Students,,,1991,1997,350
1,太平店村志,小学在校生 Elementary School Students,,,1997,2003,300
1,太平店村志,小学在校生 Elementary School Students,,,2003,2008,400
1,太平店村志,小学老师 Elementary School Teachers,,,1969,1970,22
1,太平店村志,小学老师 Elementary School Teachers,,,1988,1991,16
1,太平店村志,小学老师 Elementary School Teachers,,,1991,1997,15
1,太平店村志,小学老师 Elementary School Teachers,,,1997,2003,15
1,太平店村志,小学老师 Elementary School Teachers,,,2003,2008,14
4,万秀村志,小学在校生 Elementary School Students,,,1951,1952,80
4,万秀村志,小学在校生 Elementary School Students,,,1952,1953,110
4,万秀村志,小学在校生 Elementary School Students,,,1953,1954,125
4,万秀村志,小学在校生 Elementary School Students,,,1954,1955,148
4,万秀村志,小学在校生 Elementary School Students,,,1955,1956,150
4,万秀村志,小学在校生 Elementary School Students,,,1956,1957,156
4,万秀村志,小学在校生 Elementary School Students,,,1957,1958,199
4,万秀村志,小学在校生 Elementary School Students,,,1958,1959,237
4,万秀村志,小学在校生 Elementary School Students,,,1959,1960,244
4,万秀村志,小学在校生 Elementary School Students,,,1960,1961,246
4,万秀村志,小学在校生 Elementary School Students,,,1961,1962,240
4,万秀村志,小学在校生 Elementary School Students,,,1962,1963,281
4,万秀村志,小学在校生 Elementary School Students,,,1963,1964,286
4,万秀村志,小学在校生 Elementary School Students,,,1964,1965,288
4,万秀村志,小学在校生 Elementary School Students,,,1965,1966,321
4,万秀村志,小学在校生 Elementary School Students,,,1966,1967,323
4,万秀村志,小学在校生 Elementary School Students,,,1967,1968,357
4,万秀村志,小学在校生 Elementary School Students,,,1968,1969,275
4,万秀村志,小学在校生 Elementary School Students,,,1969,1970,310
4,万秀村志,小学在校生 Elementary School Students,,,1970,1971,277
4,万秀村志,小学在校生 Elementary School Students,,,1971,1972,309
4,万秀村志,小学在校生 Elementary School Students,,,1973,1974,311
4,万秀村志,小学在校生 Elementary School Students,,,1974,1975,279
4,万秀村志,小学在校生 Elementary School Students,,,1975,1976,306
4,万秀村志,小学在校生 Elementary School Students,,,1976,1977,315
4,万秀村志,小学在校生 Elementary School Students,,,1977,1978,331
4,万秀村志,小学在校生 Elementary School Students,,,1978,1979,339
4,万秀村志,小学在校生 Elementary School Students,,,1979,1980,374
4,万秀村志,小学在校生 Elementary School Students,,,1980,1981,354
4,万秀村志,小学在校生 Elementary School Students,,,1981,1982,376
4,万秀村志,小学在校生 Elementary School Students,,,1982,1983,379
4,万秀村志,小学在校生 Elementary School Students,,,1983,1984,363
4,万秀村志,小学在校生 Elementary School Students,,,1984,1985,348
4,万秀村志,小学在校生 Elementary School Students,,,1985,1986,336
4,万秀村志,小学在校生 Elementary School Students,,,1986,1987,330
4,万秀村志,小学在校生 Elementary School Students,,,1987,1988,350
4,万秀村志,小学在校生 Elementary School Students,,,1988,1989,361
4,万秀村志,小学在校生 Elementary School Students,,,1989,1990,381
4,万秀村志,小学在校生 Elementary School Students,,,1990,1991,402
4,万秀村志,小学在校生 Elementary School Students,,,1991,1992,495
4,万秀村志,小学在校生 Elementary School Students,,,1992,1993,646
4,万秀村志,小学在校生 Elementary School Students,,,1993,1994,655
4,万秀村志,小学在校生 Elementary School Students,,,1994,1995,741
4,万秀村志,小学在校生 Elementary School Students,,,1995,1996,840
4,万秀村志,小学在校生 Elementary School Students,,,1996,1997,892
4,万秀村志,小学在校生 Elementary School Students,,,1997,1998,962
4,万秀村志,小学在校生 Elementary School Students,,,1998,1999,958
4,万秀村志,小学在校生 Elementary School Students,,,1999,2000,882
4,万秀村志,小学在校生 Elementary School Students,,,2000,2001,879
4,万秀村志,小学在校生 Elementary School Students,,,2001,2002,874
4,万秀村志,小学在校生 Elementary School Students,,,2002,2003,823
4,万秀村志,小学在校生 Elementary School Students,,,2003,2004,759
4,万秀村志,小学在校生 Elementary School Students,,,2004,2005,772
4,万秀村志,小学在校生 Elementary School Students,,,2005,2006,762
4,万秀村志,小学在校生 Elementary School Students,,,2006,2007,812
4,万秀村志,小学在校生 Elementary School Students,,,2007,2008,914
4,万秀村志,小学老师 Elementary School Teachers,,,1952,1953,3
4,万秀村志,小学老师 Elementary School Teachers,,,1953,1954,3
4,万秀村志,小学老师 Elementary School Teachers,,,1954,1955,4
4,万秀村志,小学老师 Elementary School Teachers,,,1955,1956,4
4,万秀村志,小学老师 Elementary School Teachers,,,1956,1957,4
4,万秀村志,小学老师 Elementary School Teachers,,,1957,1958,6
4,万秀村志,小学老师 Elementary School Teachers,,,1958,1959,6
4,万秀村志,小学老师 Elementary School Teachers,,,1959,1960,7
4,万秀村志,小学老师 Elementary School Teachers,,,1960,1961,8
4,万秀村志,小学老师 Elementary School Teachers,,,1961,1962,9
4,万秀村志,小学老师 Elementary School Teachers,,,1962,1963,12
4,万秀村志,小学老师 Elementary School Teachers,,,1963,1964,13
4,万秀村志,小学老师 Elementary School Teachers,,,1964,1965,13
4,万秀村志,小学老师 Elementary School Teachers,,,1965,1966,13
4,万秀村志,小学老师 Elementary School Teachers,,,1966,1967,13
4,万秀村志,小学老师 Elementary School Teachers,,,1967,1968,13
4,万秀村志,小学老师 Elementary School Teachers,,,1968,1969,16
4,万秀村志,小学老师 Elementary School Teachers,,,1969,1970,19
4,万秀村志,小学老师 Elementary School Teachers,,,1970,1971,20
4,万秀村志,小学老师 Elementary School Teachers,,,1971,1972,23
4,万秀村志,小学老师 Elementary School Teachers,,,1972,1973,23
4,万秀村志,小学老师 Elementary School Teachers,,,1973,1974,23
4,万秀村志,小学老师 Elementary School Teachers,,,1974,1975,23
4,万秀村志,小学老师 Elementary School Teachers,,,1975,1976,23
4,万秀村志,小学老师 Elementary School Teachers,,,1976,1977,23
4,万秀村志,小学老师 Elementary School Teachers,,,1977,1978,23
4,万秀村志,小学老师 Elementary School Teachers,,,1978,1979,23
4,万秀村志,小学老师 Elementary School Teachers,,,1979,1980,23
4,万秀村志,小学老师 Elementary School Teachers,,,1980,1981,21
4,万秀村志,小学老师 Elementary School Teachers,,,1981,1982,20
4,万秀村志,小学老师 Elementary School Teachers,,,1982,1983,18
4,万秀村志,小学老师 Elementary School Teachers,,,1983,1984,19
4,万秀村志,小学老师 Elementary School Teachers,,,1984,1985,20
4,万秀村志,小学老师 Elementary School Teachers,,,1985,1986,22
4,万秀村志,小学老师 Elementary School Teachers,,,1986,1987,24
4,万秀村志,小学老师 Elementary School Teachers,,,1987,1988,24
4,万秀村志,小学老师 Elementary School Teachers,,,1988,1989,22
4,万秀村志,小学老师 Elementary School Teachers,,,1989,1990,26
4,万秀村志,小学老师 Elementary School Teachers,,,1990,1991,26
4,万秀村志,小学老师 Elementary School Teachers,,,1991,1992,27
4,万秀村志,小学老师 Elementary School Teachers,,,1992,1993,29
4,万秀村志,小学老师 Elementary School Teachers,,,1993,1994,30
4,万秀村志,小学老师 Elementary School Teachers,,,1994,1995,33
4,万秀村志,小学老师 Elementary School Teachers,,,1995,1996,33
4,万秀村志,小学老师 Elementary School Teachers,,,1998,1999,44
4,万秀村志,小学老师 Elementary School Teachers,,,1999,2000,45
4,万秀村志,小学老师 Elementary School Teachers,,,2000,2001,41
4,万秀村志,小学老师 Elementary School Teachers,,,2001,2002,41
4,万秀村志,小学老师 Elementary School Teachers,,,2002,2003,40
4,万秀村志,小学老师 Elementary School Teachers,,,2003,2004,45
4,万秀村志,小学老师 Elementary School Teachers,,,2004,2005,43
4,万秀村志,小学老师 Elementary School Teachers,,,2005,2006,46
4,万秀村志,小学老师 Elementary School Teachers,,,2006,2007,48
4,万秀村志,小学在校生 Elementary School Students,,,1972,1973,281
4,万秀村志,小学老师 Elementary School Teachers,,,1996,1997,37
4,万秀村志,小学老师 Elementary School Teachers,,,1997,1998,38
8,板板桥村志,小学在校生 Elementary School Students,,,1951,1954,60
8,板板桥村志,小学在校生 Elementary School Students,,,1956,1961,67
8,板板桥村志,小学在校生 Elementary School Students,,,1962,1967,84
8,板板桥村志,小学在校生 Elementary School Students,,,1968,1977,210
8,板板桥村志,小学在校生 Elementary School Students,,,1978,1980,410
8,板板桥村志,小学在校生 Elementary School Students,,,1980,1981,357
8,板板桥村志,小学在校生 Elementary School Students,,,1981,1992,388
8,板板桥村志,小学在校生 Elementary School Students,,,1993,1994,368
8,板板桥村志,小学在校生 Elementary School Students,,,1995,1997,290
8,板板桥村志,小学在校生 Elementary School Students,,,1998,2000,302
8,板板桥村志,小学在校生 Elementary School Students,,,2001,2005,297
8,板板桥村志,小学老师 Elementary School Teachers,,,1951,1954,1
8,板板桥村志,小学老师 Elementary School Teachers,,,1956,1961,1
8,板板桥村志,小学老师 Elementary School Teachers,,,1962,1967,3
8,板板桥村志,小学老师 Elementary School Teachers,,,1968,1977,18
8,板板桥村志,小学老师 Elementary School Teachers,,,1978,1980,18
8,板板桥村志,小学老师 Elementary School Teachers,,,1980,1981,18
8,板板桥村志,小学老师 Elementary School Teachers,,,1981,1992,17
8,板板桥村志,小学老师 Elementary School Teachers,,,1993,1994,19
8,板板桥村志,小学老师 Elementary School Teachers,,,1995,1997,18
8,板板桥村志,小学老师 Elementary School Teachers,,,1998,2000,19
8,板板桥村志,小学老师 Elementary School Teachers,,,2001,2005,18
14,桑耳庄村志,新入学生 - 大学 Initial Student Enrollment - College/University,,,1980,2000,42
17,单家村村志,新入学生 - 大学 Initial Student Enrollment - College/University,,,1977,2010,53
23,凤池村志,新入学生 - 大学 Initial Student Enrollment - College/University,,,1949,2005,71
25,马头村志,新入学生 - 大学 Initial Student Enrollment - College/University,,,1978,2012,78
28,莲塘村志,小学在校生 Elementary School Students,,,1949,1951,25
28,莲塘村志,小学在校生 Elementary School Students,,,1951,1960,30
28,莲塘村志,小学在校生 Elementary School Students,,,1960,1972,130
28,莲塘村志,小学在校生 Elementary School Students,,,1973,1991,438
28,莲塘村志,小学在校生 Elementary School Students,,,1991,2007,530
28,莲塘村志,小学在校生 Elementary School Students,,,2007,2009,100
28,莲塘村志,小学老师 Elementary School Teachers,,,1949,1951,4
28,莲塘村志,小学老师 Elementary School Teachers,,,1951,1960,2
28,莲塘村志,小学老师 Elementary School Teachers,,,1960,1972,6
28,莲塘村志,小学老师 Elementary School Teachers,,,1991,2007,16
28,莲塘村志,小学老师 Elementary School Teachers,,,2007,2009,18
28,莲塘村志,受教育程度 Highest Level of Education,大专以上 College/University or Higher,人数 number of people,1949,1978,12
28,莲塘村志,受教育程度 Highest Level of Education,大专以上 College/University or Higher,人数 number of people,1979,2009,155
31,南凤山村志,新入学生 - 大学 Initial Student Enrollment - College/University,,,1977,2008,120
31,南凤山村志,小学老师 Elementary School Teachers,,,1950,1968,14
31,南凤山村志,小学老师 Elementary School Teachers,,,1969,2001,36
31,南凤山村志,受教育程度 Highest Level of Education,大专以上 College/University or Higher,人数 number of people,1949,2008,121
32,井亭村志,新入学生 - 大学 Initial Student Enrollment - College/University,,,1998,2006,137
34,胡家村志,新入学生 - 大学 Initial Student Enrollment - College/University,,,2000,2008,45
35,洪塘头村志,小学在校生 Elementary School Students,,,1949,1952,60
35,洪塘头村志,小学在校生 Elementary School Students,,,1974,1978,400
35,洪塘头村志,小学在校生 Elementary School Students,,,1997,2003,400
35,洪塘头村志,小学老师 Elementary School Teachers,,,1949,1952,2
35,洪塘头村志,小学老师 Elementary School Teachers,,,1974,1978,23
35,洪塘头村志,受教育程度 Highest Level of Education,大专以上 College/University or Higher,人数 number of people,1977,2008,47
36,周家巷村志,受教育程度 Highest Level of Education,初中 Junior High School,人数 number of people,1949,2008,599
36,周家巷村志,受教育程度 Highest Level of Education,中专高中 High School,人数 number of people,1949,2008,240
36,周家巷村志,受教育程度 Highest Level of Education,大专以上 College/University or Higher,人数 number of people,1949,2008,152
38,梁口村志,新入学生 - 大学 Initial Student Enrollment - College/University,,,1950,2008,58
41,博潭村志,新入学生 - 大学 Initial Student Enrollment - College/University,,,1949,1998,53
42,新桥村志,新入学生 - 大学 Initial Student Enrollment - College/University,,,1990,2004,88
45,定安村志,受教育程度 Highest Level of Education,初中 Junior High School,人数 number of people,1950,1960,40
