村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Division1,Division2,Start Year,End Year,Data
2,叶店村志,入伍 Military Enlistment,,,1949,2007,46
3,马鞭田村志,入伍 Military Enlistment,,,1949,2009,69
3,马鞭田村志,共产党员 CCP Membership,男 Male,,1957,2009,52
3,马鞭田村志,共产党员 CCP Membership,女 Female,,1957,2009,5
3,马鞭田村志,共产党员 CCP Membership,总 Total,,1957,2009,57
3,马鞭田村志,共产党员 CCP Membership,少数民族 Ethnic Minorities,,1957,2009,19
13,黄土岗村志,新党员 New CCP Membership,总 Total,,1949,1966,35
13,黄土岗村志,新党员 New CCP Membership,总 Total,,1966,1976,33
14,桑耳庄村志,村民纠纷 Number of Civil Mediations,,,1990,2000,560
14,桑耳庄村志,入伍 Military Enlistment,,,1955,2000,100
14,桑耳庄村志,新党员 New CCP Membership,男 Male,,1941,1943,17
14,桑耳庄村志,新党员 New CCP Membership,男 Male,,1944,1949,28
14,桑耳庄村志,新党员 New CCP Membership,男 Male,,1966,1967,18
14,桑耳庄村志,新党员 New CCP Membership,男 Male,,1967,1978,29
14,桑耳庄村志,新党员 New CCP Membership,男 Male,,1983,2000,14
14,桑耳庄村志,新党员 New CCP Membership,女 Female,,1941,1943,1
14,桑耳庄村志,新党员 New CCP Membership,女 Female,,1944,1949,8
14,桑耳庄村志,新党员 New CCP Membership,女 Female,,1950,1965,2
14,桑耳庄村志,新党员 New CCP Membership,女 Female,,1966,1967,7
14,桑耳庄村志,新党员 New CCP Membership,女 Female,,1967,1978,2
14,桑耳庄村志,新党员 New CCP Membership,女 Female,,1983,2000,2
14,桑耳庄村志,新党员 New CCP Membership,总 Total,,1941,1943,18
14,桑耳庄村志,新党员 New CCP Membership,总 Total,,1944,1949,36
14,桑耳庄村志,新党员 New CCP Membership,总 Total,,1950,1965,22
14,桑耳庄村志,新党员 New CCP Membership,总 Total,,1966,1967,25
14,桑耳庄村志,新党员 New CCP Membership,总 Total,,1967,1978,31
14,桑耳庄村志,新党员 New CCP Membership,男 Male,,1950,1965,20
14,桑耳庄村志,新党员 New CCP Membership,总 Total,,1983,2000,16
21,张坊村志,入伍 Military Enlistment,,,1955,2010,104
22,张家圩子村志,村民纠纷 Number of Civil Mediations,,,1983,2011,184
23,凤池村志,共产党员 CCP Membership,总 Total,,1951,2006,59
25,马头村志,新党员 New CCP Membership,总 Total,,1990,1999,17
25,马头村志,新党员 New CCP Membership,总 Total,,2000,2012,34
30,管元村志,入伍 Military Enlistment,,,1949,2004,71
30,管元村志,共产党员 CCP Membership,男 Male,,1949,2004,23
30,管元村志,共产党员 CCP Membership,女 Female,,1949,2004,11
30,管元村志,共产党员 CCP Membership,总 Total,,1949,2004,40
30,管元村志,共产党员 CCP Membership,少数民族 Ethnic Minorities,,1949,2004,11
