村志代码 Gazetteer Code,村志书名 Gazetteer Title,自然灾害种类 Types of Natural Disasters,年份 Years
1,太平店村志,旱灾 Drought,"1959, 1988, 1991"
1,太平店村志,冰雹 Hailstorm,2002
1,太平店村志,暴风雨 Severe Storm,"1997, 1998, 2008"
1,太平店村志,龙卷风 Tornado,"1997, 1998"
2,叶店村志,水灾 Flood,"1954, 1983, 1998"
2,叶店村志,虫害 Pestilence,1956
2,叶店村志,风灾 Windstorm,1980
2,叶店村志,龙卷风 Tornado,1980
3,马鞭田村志,水灾 Flood,1968
3,马鞭田村志,冰雹 Hailstorm,2008
3,马鞭田村志,旱灾 Drought,"1963, 1969, 2009, 2010"
4,万秀村志,水灾 Flood,1958
4,万秀村志,旱灾 Drought,1958
4,万秀村志,涝灾 Waterlogging,2006
4,光淀村志,风灾 Windstorm,2002
5,光淀村志,冰雹 Hailstorm,"1975, 1985"
5,光淀村志,地震 Earthquake,1976
5,光淀村志,虫害 Pestilence,1980
5,光淀村志,水灾 Flood,"1949, 1956, 1963"
6,方等村志,暴风雨 Severe Storm,"1961, 1963"
6,方等村志,水灾 Flood,1963
6,方等村志,暴风雪 Blizzard,2009
6,方等村志,冰雹 Hailstorm,"1956, 1977, 1995"
6,方等村志,旱灾 Drought,"1952, 1960, 1973, 1978, 1980, 1985, 1987, 1994"
6,方等村志,虫害 Pestilence,"1980, 1994"
6,方等村志,地震 Earthquake,"1966, 2010"
7,渔津洼村志,风灾 Windstorm,"1991, 1998"
7,渔津洼村志,冰雹 Hailstorm,"1960, 1968, 1976, 1978"
7,渔津洼村志,地震 Earthquake,1967
7,渔津洼村志,虫害 Pestilence,1979
7,渔津洼村志,涝灾 Waterlogging,"1949, 1950, 1953, 1954, 1955, 1956, 1958, 1960, 1962, 1963, 1964, 1967, 1977, 1979, 1994, 1996"
8,板板桥村志,暴风雪 Blizzard,"1975, 1982, 1983, 1986"
8,板板桥村志,冰雹 Hailstorm,"1961, 1968"
8,板板桥村志,水灾 Flood,1984
8,板板桥村志,涝灾 Waterlogging,1971
9,仓上村志,水灾 Flood,1963
9,仓上村志,暴风雨 Severe Storm,1958
9,仓上村志,冰雹 Hailstorm,2003
9,仓上村志,涝灾 Waterlogging,"1956, 1964"
9,仓上村志,旱灾 Drought,1965
9,仓上村志,地震 Earthquake,"1966, 1976"
9,仓上村志,虫害 Pestilence,1957
11,桥梓村志,暴风雨 Severe Storm,"1959, 2008"
11,桥梓村志,风灾 Windstorm,"1999, 2003"
11,桥梓村志,水灾 Flood,"1959, 2006, 2008"
12,东侯坊村志,暴风雪 Blizzard,2009
12,东侯坊村志,冰雹 Hailstorm,"1974, 1982"
12,东侯坊村志,旱灾 Drought,1982
12,东侯坊村志,地震 Earthquake,"1966, 1976"
12,东侯坊村志,虫害 Pestilence,1964
12,东侯坊村志,水灾 Flood,1963
12,东侯坊村志,暴风雨 Severe Storm,"1976, 1980"
12,东侯坊村志,涝灾 Waterlogging,1989
13,黄土岗村志,冰雹 Hailstorm,"1965, 1976, 1982, 1983"
13,黄土岗村志,涝灾 Waterlogging,"1949, 1954, 1956, 1959, 1963, 1964, 1998"
14,桑耳庄村志,水灾 Flood,"1957, 1958, 1975, 1978, 1982, 1989, 1996"
14,桑耳庄村志,暴风雨 Severe Storm,"1957, 1958, 1975, 1978, 1982, 1989, 1996"
14,桑耳庄村志,冰雹 Hailstorm,"1957, 1965"
14,桑耳庄村志,旱灾 Drought,2000
14,桑耳庄村志,涝灾 Waterlogging,"1956, 1975"
14,桑耳庄村志,虫害 Pestilence,1957
17,单家村村志,冰雹 Hailstorm,1974
17,单家村村志,水灾 Flood,"1954, 1963"
17,单家村村志,旱灾 Drought,1972
17,单家村村志,地震 Earthquake,1976
18,生产村志,海啸 Tsunami,1949
18,生产村志,暴风雨 Severe Storm,"1949, 1955, 1956, 1959, 1960, 1961, 1963, 1964, 1973, 1975, 1984"
18,生产村志,风灾 Windstorm,"1956, 1966, 1975, 1983, 1984"
18,生产村志,龙卷风 Tornado,1955
18,生产村志,冰雹 Hailstorm,"1972, 1989"
18,生产村志,旱灾 Drought,"1949, 1978, 1981, 1982"
18,生产村志,虫害 Pestilence,1951
19,树园村志,台风 Typhoon,"1949, 1956, 1963"
19,树园村志,旱灾 Drought,"1966, 1971"
19,树园村志,涝灾 Waterlogging,1980
19,树园村志,暴风雨 Severe Storm,"1949, 1963, 1986"
20,西黄村村志,风灾 Windstorm,1984
20,西黄村村志,冰雹 Hailstorm,1952
20,西黄村村志,地震 Earthquake,1976
20,西黄村村志,暴风雨 Severe Storm,"1956, 1969"
20,西黄村村志,涝灾 Waterlogging,1969
21,张坊村志,水灾 Flood,1963
21,张坊村志,暴风雨 Severe Storm,"1963, 1982"
21,张坊村志,冰雹 Hailstorm,"1991, 2003"
21,张坊村志,旱灾 Drought,"1952, 1962, 1965, 1980, 1984"
21,张坊村志,风灾 Windstorm,"1952, 1984, 2003"
22,张家圩子村志,暴风雨 Severe Storm,"1957, 1964, 1985, 1998"
22,张家圩子村志,风灾 Windstorm,1962
22,张家圩子村志,冰雹 Hailstorm,"1953, 1959, 1971, 1998"
22,张家圩子村志,冰凌 Icestorm,1979
22,张家圩子村志,涝灾 Waterlogging,"1962, 1967, 1969"
22,张家圩子村志,旱灾 Drought,"1982, 1989, 2002"
22,张家圩子村志,地震 Earthquake,"1966, 1969, 1975, 1976"
22,张家圩子村志,虫害 Pestilence,1998
23,凤池村志,水灾 Flood,"1952, 1968, 1971, 1982"
23,凤池村志,冰雹 Hailstorm,1988
25,马头村志,水灾 Flood,"1959, 1980"
25,马头村志,风灾 Windstorm,1959
25,马头村志,冰雹 Hailstorm,1959
25,马头村志,旱灾 Drought,"1959, 2009, 2011"
25,马头村志,滑坡和泥石流 Landslide and Debris Flow,1980
26,孟莲村志,暴风雨 Severe Storm,"1958, 1974, 1985"
26,孟莲村志,台风 Typhoon,"1957, 1985"
26,孟莲村志,水灾 Flood,"1968, 1985, 1994, 2001"
26,孟莲村志,旱灾 Drought,1963
27,马岭村志,龙卷风 Tornado,1956
28,莲塘村志,水灾 Flood,"1966, 1996"
31,南凤山村志,冰雹 Hailstorm,"1953, 1983"
31,南凤山村志,地震 Earthquake,1966
31,南凤山村志,暴风雨 Severe Storm,"1953, 1954, 1983, 1986, 1996"
32,井亭村志,台风 Typhoon,"1955, 1962"
32,井亭村志,暴风雪 Blizzard,1972
33,见守村志,水灾 Flood,"1956, 1963, 1965, 1977, 1996"
33,见守村志,地震 Earthquake,1966
33,见守村志,虫害 Pestilence,1950
33,见守村志,雷雨 Thunderstorm,1977
35,洪塘头村志,台风 Typhoon,"1959, 1973, 1999, 2000"
36,周家巷村志,水灾 Flood,1954
36,周家巷村志,暴风雪 Blizzard,2008
36,周家巷村志,涝灾 Waterlogging,1954
36,周家巷村志,暴风雨 Severe Storm,"1991, 2000"
36,周家巷村志,地震 Earthquake,"1974, 2008"
36,周家巷村志,台风 Typhoon,1990
37,联盟村志,暴风雪 Blizzard,1979
37,联盟村志,冰雹 Hailstorm,"1976, 1986"
37,联盟村志,霜冻 Frost Damage,"1958, 1962, 1979, 1980, 1987"
37,联盟村志,涝灾 Waterlogging,"1952, 1954, 1956, 1957, 1959, 1961, 1962, 1963, 1964, 1966, 1967, 1975, 1976, 1980, 1981, 1983, 1988"
37,联盟村志,旱灾 Drought,"1954, 1955, 1956, 1957, 1959, 1960, 1962, 1963, 1966, 1967, 1968, 1969, 1971, 1972, 1973, 1974, 1976, 1977, 1979, 1980"
38,梁口村志,地震 Earthquake,1976
40,金家坪村志,暴风雨 Severe Storm,"1977, 1978, 1980, 1982, 1983, 1990, 1996, 1998, 1999, 2002, 2004"
40,金家坪村志,风灾 Windstorm,1978
40,金家坪村志,暴风雪 Blizzard,"1954, 1976"
40,金家坪村志,冰雹 Hailstorm,1988
40,金家坪村志,涝灾 Waterlogging,1954
40,金家坪村志,旱灾 Drought,"1966, 2003"
41,博潭村志,暴风雨 Severe Storm,"1970, 1990"
41,博潭村志,水灾 Flood,"1954, 1970, 1990"
41,博潭村志,旱灾 Drought,1959
41,博潭村志,虫害 Pestilence,1956
41,博潭村志,冰雹 Hailstorm,1984
42,新桥村志,暴风雨 Severe Storm,"1954, 1969, 1973, 1975, 1980, 2001"
42,新桥村志,台风 Typhoon,1956
42,新桥村志,冰雹 Hailstorm,1975
42,新桥村志,风灾 Windstorm,"1967, 1975"
42,新桥村志,涝灾 Waterlogging,1954
43,草厂村志,地震 Earthquake,"1966, 1976"
44,大吕庄村志,水灾 Flood,"1951, 1957, 1963"
44,大吕庄村志,暴风雨 Severe Storm,"1951, 1957, 1963, 1992, 1994, 1996, 2000"
44,大吕庄村志,涝灾 Waterlogging,1988
44,大吕庄村志,暴风雪 Blizzard,2009
44,大吕庄村志,旱灾 Drought,"1954, 1960, 1961, 1965, 1970, 1978, 1979, 1981, 1985, 1989, 2000, 2008"
44,大吕庄村志,风灾 Windstorm,"1961, 1982, 1987, 1995"
44,大吕庄村志,龙卷风 Tornado,1985
44,大吕庄村志,冰雹 Hailstorm,1998
44,大吕庄村志,虫害 Pestilence,"1950, 1953, 1955, 1958, 1985, 1990, 1992, 1999"
45,定安村志,涝灾 Waterlogging,1953
45,定安村志,旱灾 Drought,1981
45,定安村志,虫害 Pestilence,1981
