村志代码 Gazetteer Code,村志书名 Gazetteer Title,村庄代码 Village Code,村名 - 汉字 Village Name - Chinese Characters,村名 - 汉语拼音 Village Name - Hanyu Pinyin,省 - 汉字 Province - Chinese Characters,省 - 汉语拼音 Province - Hanyu Pinyin,市 - 汉字 City - Chinese Characters,市 - 汉语拼音 City - Hanyu Pinyin,县 / 区 - 汉字 County / District - Chinese Characters,县 / 区 - 汉语拼音 County / District - Hanyu Pinyin,村庄总面积单位 Total Area Unit,村庄总面积 Total Area,经纬度 - 格式 Latitude and Longitude - Format,纬度 Latitude,经度 Longitude,距隶属县城距离单位 Distance to Affiliated to the county town - Unit,距隶属县城距离 Distance to Affiliated to the county town
0001,太平店村志,411082100218,太平店村,Taipingdian Cun,河南省,Henan Sheng,许昌市,Xuchang Shi,长葛市,Changge Shi,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,,,公里/千米 kilometer,4
0002,叶店村志,420116403201,叶店村,Yedian Cun,湖北省,Hubei Sheng,武汉市,Wuhan Shi,黄陂区,Huangpi Qu,平方千米 / 平方公里 square kilometers,7.5,度分秒 DMS (degrees-minutes-seconds),30°47′N,114°11′E,公里/千米 kilometer,5
0003,马鞭田村志,522328102210,马鞭田村,Mabiantian Cun,贵州省,Guizhou Sheng,黔西南布依族苗族自治州,Qianxi'nan Buyizu Miaozu Zizhizhou,安龙县,Anlong Xian,平方千米 / 平方公里 square kilometers,7.5,度分秒 DMS (degrees-minutes-seconds),250°9′N,105°48′E,公里/千米 kilometer,25.3
0004,万秀村志,450107002201,万秀村,Wanxiu Cun,广西壮族自治区,Guangxi Zhuangzu Zizhiqu,南宁市,Nanning Shi,西乡塘区,Xixiangtang Qu,平方千米 / 平方公里 square kilometers,5.534,度分秒 DMS (degrees-minutes-seconds),22°51′N,108°18′E,没有相关数据 No Available Data,n/a
0005,光淀村志,130632200207,光淀村,Guangdian Cun,河北省,Hebei Sheng,保定市,Baoding Shi,安新县,Anxin Xian,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,,,公里/千米 kilometer,9
0006,方等村志,130522201225,方等村,Fangdeng Cun,河北省,Hebei Sheng,邢台市,Xingtai Shi,临城县,Lincheng Xian,平方华里 square huali,6,度分秒 DMS (degrees-minutes-seconds),37°32′N,114°32′E,公里/千米 kilometer,15
0007,渔津洼村志,n/a,渔津洼村,Yujinwa Cun,河北省,Hebei Sheng,廊坊市,Langfang Shi,霸州市,Bazhou Shi,亩 mu,5528.4,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0008,板板桥村志,532530101211,板板桥村,Banbanqiao Cun,云南省,Yunnan Sheng,红河哈尼族彝族自治州,Honghe Hanizu Yizu Zizhizhou,金平苗族瑶族傣族自治县,Jinping Miaozu Yaozu Daizu Zizhixian,平方千米 / 平方公里 square kilometers,22.278,没有相关数据 No Available Data,,,公里/千米 kilometer,7
0009,仓上村志,130535100213,仓上村,Cangshang Cun,河北省,Hebei Sheng,邢台市,Xingtai Shi,临西县,Linxi Xian,平方千米 / 平方公里 square kilometers,4.6,度分秒 DMS (degrees-minutes-seconds),36°51′N,115°29′E,公里/千米 kilometer,17
0010,草场地村志,110105038210,草场地村,Caochangdi Cun,北京市,Beijing Shi,北京市,Beijing Shi,朝阳区,Chaoyang Qu,亩 mu,1400,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0011,桥梓村志,441900110202,桥梓村,Qiaozi Cun,广东省,Guangdong Sheng,东莞市,Dongguan Shi,东莞市,Dongguan Shi,平方千米 / 平方公里 square kilometers,1.95,度分秒 DMS (degrees-minutes-seconds),22°58′38″N,113°59′18″E,没有相关数据 No Available Data,n/a
0012,东侯坊村志,n/a,东侯坊村,Donghoufang Cun,河北省,Hebei Sheng,石家庄市,Shijiazhuang Shi,无极县,Wuji Xian,平方千米 / 平方公里 square kilometers,0.88,没有相关数据 No Available Data,,,公里/千米 kilometer,6
0013,黄土岗村志,110106202201,黄土岗村,Huangtugang Cun,北京市,Beijing Shi,北京市,Beijing Shi,丰台区,Fengtai Qu,平方千米 / 平方公里 square kilometers,2.6,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0014,桑耳庄村志,410581106229,桑耳庄村,Sang'erzhuang Cun,河南省,Henan Sheng,安阳市,Anyang Shi,林州市,Linzhou Shi,平方千米 / 平方公里 square kilometers,42.4,度分秒 DMS (degrees-minutes-seconds),36°16′N,113°48′E,公里/千米 kilometer,25
0015,三合村志,110111209207,三合村,Sanhe Cun,北京市,Beijing Shi,北京市,Beijing Shi,房山区,Fangshan Qu,平方千米 / 平方公里 square kilometers,4.2,没有相关数据 No Available Data,,,公里/千米 kilometer,12
0016,上梅林村志,n/a,上梅林村,Shangmeilin Cun,广东省,Guangdong Sheng,深圳市,Shenzhen Shi,福田区,Futian Qu,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0017,单家村村志,110114007206,单家村,Shanjia Cun,北京市,Beijing Shi,北京市,Beijing Shi,昌平区,Changping Qu,平方千米 / 平方公里 square kilometers,1.3,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0018,生产村志,370687001201,生产村,Shengchan Cun,山东省,Shandong Sheng,烟台市,Yantai Shi,海阳市,Haiyang Shi,没有相关数据 No Available Data,n/a,度分秒 DMS (degrees-minutes-seconds),36°09′N,121°09′E,没有相关数据 No Available Data,n/a
0019,树园村志,310120501203,树园村,Shuyuan Cun,上海市,Shanghai Shi,上海市,Shanghai Shi,奉贤区,Fengxian Qu,平方千米 / 平方公里 square kilometers,3,度分秒 DMS (degrees-minutes-seconds),30°55′N,121°27′E,没有相关数据 No Available Data,n/a
0020,西黄村村志,110115005206,西黄村,Xihuang Cun,北京市,Beijing Shi,北京市,Beijing Shi,大兴区,Daxing Qu,平方千米 / 平方公里 square kilometers,0.03,度分秒 DMS (degrees-minutes-seconds),39°42′N,n/a,没有相关数据 No Available Data,n/a
0021,张坊村志,110111110212,张坊村,Zhangfang Cun,北京市,Beijing Shi,北京市,Beijing Shi,房山区,Fangshan Qu,平方千米 / 平方公里 square kilometers,4.4,度分秒 DMS (degrees-minutes-seconds),39.4°N,94.1°E,里 li,80
0022,张家圩子村志,370921107223,张家圩子村,Zhangjiaweizi Cun,山东省,Shandong Sheng,泰安市,Taian Shi,宁阳县,Ningyang Xian,平方米 square meters,3126067,没有相关数据 No Available Data,n/a,n/a,没有相关数据 No Available Data,n/a
0023,凤池村志,350702105207,凤池村,Fengchi Cun,福建省,Fujian Sheng,南平市,Nanping Shi,延平区,Yanping Qu,亩 mu,13869,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0024,楼村志,440306007015,楼村,Lou Cun,广东省,Guangdong Sheng,深圳市,Shenzhen Shi,宝安区,Baoan Qu,平方千米 / 平方公里 square kilometers,37.6,没有相关数据 No Available Data,n/a,n/a,公里/千米 kilometer,30
0025,马头村志,520121206201,马头村,Matou Cun,贵州省,Guizhou Sheng,贵阳市,Guiyang Shi,开阳县,Kaiyang Xian,平方千米 / 平方公里 square kilometers,22.07,没有相关数据 No Available Data,,,公里/千米 kilometer,28
0026,孟莲村志,450109100203,孟莲村,Menglian Cun,广西壮族自治区,Guangxi Zhuangzu Zizhiqu,南宁市,Nanning Shi,邕宁区,Yongning Qu,平方千米 / 平方公里 square kilometers,4,没有相关数据 No Available Data,n/a,n/a,没有相关数据 No Available Data,n/a
0027,马岭村志,460201104001,马岭村,Maling Cun,海南省,Hainan Sheng,三亚市,Sanya Shi,天涯区,Tianya Qu,平方千米 / 平方公里 square kilometers,4,度分秒 DMS (degrees-minutes-seconds),18°18′N,106°19′E,没有相关数据 No Available Data,n/a
0028,莲塘村志,350822103222,莲塘村,Liantang Cun,福建省,Fujian Sheng,龙岩市,Longyan Shi,永定县,Yongding Xian,平方千米 / 平方公里 square kilometers,12,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0029,刘国忠村志,n/a,刘国忠村,Liuguozhong Cun,陕西省,Shanxi Sheng,榆林市,Yulin Shi,神木县,Shenmu Xian,平方千米 / 平方公里 square kilometers,35,没有相关数据 No Available Data,,,公里/千米 kilometer,60
0030,管元村志,520402006203,管元村,Guanyuan Cun,贵州省,Guizhou Sheng,安顺市,Anshun Shi,西秀区,Xixiu Qu,平方千米 / 平方公里 square kilometers,3.3,度分秒 DMS (degrees-minutes-seconds),26°14′N,105°55′E,没有相关数据 No Available Data,n/a
0031,南凤山村志,130107101003,南凤山村,Nanfengshan Cun,河北省,Hebei Sheng,石家庄市,Shijiazhuang Shi,井陉矿区,Jingxing Kuangqu,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a,n/a,公里/千米 kilometer,50
0032,井亭村志,310112107204,井亭村,Jingting Cun,上海市,Shanghai Shi,上海市,Shanghai Shi,闵行区,Minhang Qu,平方千米 / 平方公里 square kilometers,2.14,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0033,见守村志,130129100206,见守村,Jianshou Cun,河北省,Hebei Sheng,石家庄市,Shijiazhuang Shi,赞皇县,Zanhuang Xian,平方千米 / 平方公里 square kilometers,16,度分秒 DMS (degrees-minutes-seconds),37°26'N,114°2'E,公里/千米 kilometer,44
0034,胡家村志,220105100208,胡家村,Hujia Cun,吉林省,Jilin Sheng,长春市,Changchun Shi,二道区,Erdao Qu,平方千米 / 平方公里 square kilometers,11.3,度分秒 DMS (degrees-minutes-seconds),43°54′34″N,125°22′5″E,没有相关数据 No Available Data,n/a
0035,洪塘头村志,350212108003,洪塘头村,Hongtangtou Cun,福建省,Fujian Sheng,厦门市,Xiamen Shi,同安区,Tongan Qu,平方千米 / 平方公里 square kilometers,5.37,度分秒 DMS (degrees-minutes-seconds),24°32'N,n/a,没有相关数据 No Available Data,n/a
