村志代码 Gazetteer Code,村志书名 Gazetteer Title,液化气 Liquefied Gas,管道燃气 Pipeline Gas,天然气 Natural Gas,自来水 Tap Water,供电 Electricity Service,电视机 Television Set,电话机 Telephone,有线广播 Wired-line Broadcasting
1,太平店村志,n/a,n/a,n/a,n/a,n/a,1969,n/a,1956
2,叶店村志,n/a,n/a,n/a,n/a,1962,1966,n/a,n/a
3,马鞭田村志,n/a,n/a,n/a,n/a,1979,n/a,n/a,n/a
4,万秀村志,n/a,n/a,n/a,n/a,1955,n/a,1955,n/a
5,光淀村志,n/a,n/a,n/a,1979,1972,n/a,1999,n/a
6,方等村志,n/a,n/a,n/a,n/a,1966,1972,1957,1965
7,渔津洼村志,n/a,n/a,n/a,n/a,1961,n/a,n/a,n/a
8,板板桥村志,n/a,n/a,n/a,n/a,n/a,1987,n/a,1968
9,仓上村志,n/a,n/a,n/a,1980,n/a,1981,n/a,n/a
10,草场地村志,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1958
12,东侯坊村志,n/a,n/a,n/a,1983,n/a,1971,1958,n/a
13,黄土岗村志,n/a,n/a,n/a,n/a,n/a,1979,n/a,1958
14,桑耳庄村志,n/a,n/a,n/a,n/a,n/a,1984,1952,1957
15,三合村志,n/a,n/a,n/a,n/a,n/a,1976,n/a,n/a
17,单家村村志,n/a,n/a,n/a,1986,n/a,n/a,1956,n/a
18,生产村志,n/a,n/a,n/a,n/a,1968,n/a,n/a,n/a
19,树园村志,n/a,n/a,n/a,1981,1965,n/a,n/a,1958
20,西黄村村志,n/a,n/a,n/a,1989,1957,n/a,1958,n/a
21,张坊村志,n/a,n/a,n/a,1986,1962,n/a,n/a,n/a
22,张家圩子村志,n/a,n/a,n/a,2005,1977,1980,n/a,1968
23,凤池村志,n/a,n/a,n/a,1992,1958,n/a,n/a,n/a
24,楼村志,n/a,n/a,n/a,1986,1972,n/a,n/a,n/a
25,马头村志,n/a,n/a,n/a,n/a,1957,1977,n/a,1958
26,孟莲村志,n/a,n/a,n/a,1995,1963,n/a,n/a,n/a
27,马岭村志,n/a,n/a,n/a,2004,n/a,n/a,n/a,n/a
28,莲塘村志,n/a,n/a,n/a,2000,1974,n/a,n/a,n/a
29,刘国忠村志,n/a,n/a,n/a,2000,1998,1998,n/a,n/a
31,南凤山村志,n/a,n/a,n/a,1950,1950,1974,n/a,n/a
32,井亭村志,1991,2002,2005,1987,1959,n/a,1981,1956
34,胡家村志,n/a,n/a,n/a,n/a,1968,n/a,n/a,n/a
35,洪塘头村志,n/a,n/a,n/a,2000,n/a,2002,1992,n/a
36,周家巷村志,n/a,n/a,n/a,2004,1962,n/a,n/a,n/a
37,联盟村志,n/a,n/a,n/a,1967,1953,n/a,1970,n/a
38,梁口村志,n/a,n/a,n/a,n/a,1968,n/a,n/a,n/a
40,金家坪村志,n/a,n/a,n/a,n/a,n/a,2003,n/a,n/a
41,博潭村志,n/a,n/a,n/a,n/a,1966,1981,n/a,1984
42,新桥村志,1995,n/a,n/a,1986,1958,n/a,n/a,1956
43,草厂村志,n/a,n/a,n/a,1971,1959,n/a,n/a,n/a
44,大吕庄村志,n/a,n/a,n/a,n/a,1970,1981,1986,1956
45,定安村志,n/a,n/a,n/a,n/a,n/a,1987,n/a,1957
46,方家村志,n/a,n/a,n/a,1985,n/a,n/a,n/a,n/a
47,冯桥村志,n/a,n/a,n/a,1985,1963,n/a,n/a,1961
48,小瓦窑村志,n/a,n/a,n/a,1990,1958,1975,n/a,1958
