id,name,pinyin
1,三亚市,Sanya Shi
2,三明市,Sanming Shi
3,三门峡市,Sanmenxia Shi
4,上海市,Shanghai Shi
5,上饶市,Shangrao Shi
6,东莞市,Dongguan Shi
7,东营市,Dongying Shi
8,中山市,Zhongshan Shi
9,临夏回族自治州,Linxia Huizu Zizhizhou
10,临汾市,Linfen Shi
11,临沂市,Linyi Shi
12,临沧市,Lincang Shi
13,丹东市,Dandong Shi
14,丽水市,Lishui Shi
15,丽江市,Lijiang Shi
16,乐山市,Leshan Shi
17,九江市,Jiujiang Shi
18,佛山市,Foshan Shi
19,佳木斯市,Jiamusi Shi
20,保定市,Baoding Shi
21,保山市,Baoshan Shi
22,信阳市,Xinyang Shi
23,六安市,Lu'an Shi
24,兰州市,Lanzhou Shi
25,内江市,Neijiang Shi
26,包头市,Baotou Shi
27,北京市,Beijing Shi
28,十堰市,Shiyan Shi
29,南充市,Nanchong Shi
30,南宁市,Nanning Shi
31,南平市,Nanping Shi
32,南昌市,Nanchang Shi
33,南阳市,Nanyang Shi
34,厦门市,Xiamen Shi
35,台州市,Taizhou Shi
36,吉林市,Jilin Shi
37,吉首市,Jishou Shi
38,吐鲁番市,Tulufan Shi
39,吕梁市,Lüliang Shi
40,吴忠市,Wuzhong Shi
41,周口市,Zhoukou Shi
42,呼伦贝尔市,Hulunbeier Shi
43,呼和浩特市,Huhehaote Shi
44,咸宁市,Xianning Shi
45,咸阳市,Xianyang Shi
46,唐山市,Tangshan Shi
47,固原市,Guyuan Shi
48,大同市,Datong Shi
49,大理市,Dali Shi
50,大理白族自治州,Dali Baizu Zizhizhou
51,大连市,Dalian Shi
52,天水市,Tianshui Shi
53,天津市,Tianjin Shi
54,太原市,Taiyuan Shi
55,娄底市,Loudi Shi
56,孝感市,Xiaogan Shi
57,宁德市,Ningde Shi
58,宁波市,Ningbo Shi
59,安康市,Ankang Shi
60,安阳市,Anyang Shi
61,安顺市,Anshun Shi
62,定西市,Dingxi Shi
63,宜昌市,Yichang Shi
64,宝鸡市,Baoji Shi
65,宣城市,Xuancheng Shi
66,宿州市,Suzhou Shi
67,岳阳市,Yueyang Shi
68,崇左市,Chongzuo Shi
69,巴中市,Bazhong Shi
70,常州市,Changzhou Shi
71,常德市,Changde Shi
72,平顶山市,Pingdingshan Shi
73,广东市,Guangdong Shi
74,广安市,Guang'an Shi
75,广州市,Guangzhou Shi
76,庆阳市,Qingyang Shi
77,廊坊市,Langfang Shi
78,延安市,Yan'an Shi
79,延边朝鲜族自治州,Yanbian Chaoxianzu Zizhizhou
80,张家界市,Zhangjiajie Shi
81,张掖市,Zhangye Shi
82,徐州市,Xuzhou Shi
83,德宏傣族景颇族自治州,Dehong Daizu Jingpozu Zizhizhou
84,德州市,Dezhou Shi
85,忻州市,Xinzhou Shi
86,怀化市,Huaihua Shi
87,怒江傈僳族自治州,Nujiang Lisuzu Zizhizhou
88,恩施土家族苗族自治州,Enshi Tujiazu Miaozu Zizhizhou
89,成都市,Chengdu Shi
90,扬州市,Yangzhou Shi
91,承德市,Chengde Shi
92,抚顺市,Fushun Shi
93,揭阳市,Jieyang Shi
94,新乡市,Xinxiang Shi
95,无锡市,Wuxi Shi
96,昆明市,Kunming Shi
97,晋中市,Jinzhong Shi
98,晋城市,Jincheng Shi
99,曲靖市,Qujing Shi
100,朝阳市,Chaoyang Shi
101,本溪市,Benxi Shi
102,杭州市,Hangzhou Shi
103,枣庄市,Zaozhuang Shi
104,柳州市,Liuzhou Shi
105,株洲市,Zhuzhou Shi
106,梅州市,Meizhou Shi
107,楚雄彝族自治州,Chuxiong Yizu Zizhizhou
108,榆林市,Yulin Shi
109,武汉市,Wuhan Shi
110,永州市,Yongzhou Shi
111,汕尾市,Shanwei Shi
112,江门市,Jiangmen Shi
113,沧州市,Cangzhou Shi
114,河池市,Hechi Shi
115,河源市,Heyuan Shi
116,泉州市,Quanzhou Shi
117,泰安市,Taian Shi
118,泰州市,Taizhou Shi
119,泸州市,Luzhou Shi
120,洛阳市,Luoyang Shi
121,济南市,Jinan Shi
122,济宁市,Jining Shi
123,海东地区,Haidong Diqu
124,海口市,Haikou Shi
125,淄博市,Zibo Shi
126,淮北市,Huaibei Shi
127,深圳市,Shenzhen Shi
128,温州市,Wenzhou Shi
129,渭南市,Weinan Shi
130,湖州市,Huzhou Shi
