id,name,pinyin
1,万年县,Wannian Xian
2,上杭县,Shanghang Xian
3,东丽区,Dongli Qu
4,东平县,Dongping Xian
5,东港市,Donggang Shi
6,东莞市,Dongguan Shi
7,东阳市,Dongyang Shi
8,东阿县,Donge Xian
9,中山市,Zhongshan Shi
10,中牟县,Zhongmu Xian
11,丰南区,Fengnan Qu
12,丰台区,Fengtai Qu
13,丰宁满族自治县,Fengning Manzu Zizhixian
14,丰满区,Fengman Qu
15,丰顺县,Fengshun Xian
16,临县,Lin Xian
17,临城县,Lincheng Xian
18,临夏县,Linxia Xian
19,临安市,Lin'an Shi
20,临武县,Linwu Xian
21,临泽县,Linze Xian
22,临淄区,Linzi Qu
23,临渭区,Linwei Qu
24,临漳县,Linzhang Xian
25,临猗县,Linyi Xian
26,临西县,Linxi Xian
27,丹阳市,Danyang Shi
28,义乌市,Yiwu Shi
29,义安区,Yian Qu
30,义马市,Yima Shi
31,乐东黎族自治区,Ledong Lizu Zizhiqu
32,乐清市,Yueqing Shi
33,乐至县,Lezhi Xian
34,乐都县,Ledu Xian
35,乐陵市,Laoling Shi
36,习水县,Xishui Xian
37,乡宁县,Xiangning Xian
38,二道区,Erdao Qu
39,云龙区,Yunlong Qu
40,五华区,Wuhua Qu
41,五峰土家族自治县,Wufeng Tujiazu Zizhixian
42,井研县,Jingyan Xian
43,井陉县,Jingxing Xian
44,井陉矿区,Jingxing Kuangqu
45,交城县,JIaocheng Xian
46,京山县,Jingshan Xian
47,仓山区,Cangshan Qu
48,仙游县,Xianyou Xian
49,仪陇县,Yilong Xian
50,任丘市,Renqiu Shi
51,余姚市,Yuyao Shi
52,佳县,Jia Xian
53,保康县,Baokang Xian
54,修文县,Xiuwen Xian
55,修武县,Xiuwu Xian
56,元氏区,Yuanshi Qu
57,八步区,Babu Qu
58,公安县,Gongan Xian
59,兰坪白族普米族自治县,Lanping Baizu Pumizu Zizhixian
60,兰溪市,Lanxi Shi
61,兴义市,Xingyi Shi
62,兴化市,Xinghua Shi
63,兴宁市,Xingning Shi
64,兴平市,Xingping Shi
65,兴隆台区,Xinglongtai Qu
66,内黄县,Neihuang Xian
67,凌源市,Lingyuan Shi
68,凤凰县,Fenghuang Xian
69,凤城市,Fengcheng Shi
70,凤庆县,Fengqing Xian
71,凤泉区,Fengquan Qu
72,剑川县,Jianchuan Xian
73,剑河县,Jianhe Xian
74,北湖区,Beihu Qu
75,北辰区,Beichen Qu
76,华龙区,Hualong Qu
77,南山区,Nanshan Qu
78,南市区,Nanshi Qu
79,南昌县,Nanchang Xian
80,南江县,Nanjiang Xian
81,南浔区,Nanxun Qu
82,南海区,Nanhai Qu
83,南部县,Nanbu Xian
84,博兴县,Boxing Xian
85,博山区,Boshan Qu
86,即墨市,Jimo Shi
87,历下区,Lixia Qu
88,历城区,Licheng Qu
89,双流县,Shuangliu Xian
90,古县,Gu Xian
91,古城区,Gucheng Qu
92,古田县,Gutian Xian
93,台山市,Taishan Shi
94,合阳县,Heyang Xian
95,吉利区,Jili Qu
96,同安区,Tongan Qu
97,同心县,Tongxin Xian
98,同江市,Tongjiang Shi
99,君山区,Junshan Qu
100,吴中区,Wuzhong Qu
101,吴江市,Wujiang Shi
102,周村区,Zhoucun Qu
103,周至县,Zhouzhi Xian
104,和林格尔县,Helingeer Xian
105,商城县,Shangcheng Xian
