id,name,parentId
1,总产值 Gross Output Value,NULL
2,总 Total,1
3,第一产业 Raw Materials,1
4,第二产业 Secondary Industry,1
5,第三产业 Service,1
6,商饮 Grocery,5
7,服务业 Hospitality and Service,5
8,种植业 Agriculture,1
9,粮食 Grain,8
10,种植业,8
11,水果 Fruit,8
12,蔬菜 Vegetables,8
13,林业 Forestry,1
14,牧业 Animal Husbandry,1
15,副业 Miscellaneous,1
16,运输业 Shipping,15
17,仓储业 Warehouse,15
18,建筑业 Construction,15
19,渔业 Fishery,1
20,集体经济收入 Collective Economic Income,NULL
21,总 Total,20
22,第一产业 Raw Materials,20
23,第二产业 Secondary Industry,20
24,第三产业 Service,20
25,商饮 Grocery,24
26,服务业 Hospitality and Service,24
27,种植业 Agriculture,20
28,粮食 Grain,27
29,种植业,27
30,水果 Fruit,27
31,蔬菜 Vegetables,27
32,林业 Forestry,20
33,牧业 Animal Husbandry,20
34,副业 Miscellaneous,20
35,运输业 Shipping,34
36,仓储业 Warehouse,34
37,建筑业 Construction,34
38,渔业 Fishery,20
39,耕地面积 Cultivated Area,NULL
40,粮食总产量 Total Grain Output,NULL
41,人均收入 Per Capita Income,NULL
42,人均居住面积 Per Capita Living Space,NULL
43,电价 Electricity Price,NULL
44,General,43
45,生活 Household,43
46,全村 village,45
47,每户 per household,45
48,每人 per person,45
49,农业 Agricultural,43
50,工业 Industrial,43
51,商业 Commercial,43
52,用电量 Electricity Consumption,NULL
53,General,52
54,生活 Household,52
55,全村 village,54
56,每户 per household,54
57,每人 per person,54
58,农业 Agricultural,52
59,工业 Industrial,52
60,商业 Commercial,52
61,水价 Water Price,NULL
62,General,61
63,生活 Household,61
64,全村 village,63
65,每户 per household,63
66,每人 per person,63
67,农业 Agricultural,61
68,工业 Industrial,61
69,商业 Commercial,61
70,用水量 Water Consumption,NULL
71,General,70
72,生活 Household,70
73,全村 village,72
74,每户 per household,72
75,每人 per person,72
76,农业 Agricultural,70
77,工业 Industrial,70
78,商业 Commercial,70
