gazetteerId,villageInnerId,categoryId,startYear,endYear,unitId,data
2,2,40,2007,2007,1,35.0
4,4,40,1978,1978,1,12.12
4,4,40,2007,2007,1,109.57
7,7,40,2001,2001,1,33.0
9,9,40,1995,1995,1,15.0
13,13,40,1987,1987,1,20.0
14,14,40,2000,2000,1,86.0
26,26,40,2000,2000,1,14.0
28,28,40,2009,2009,1,20.0
30,30,40,1980,1980,1,8.0
30,30,40,1985,1985,1,15.0
30,30,40,1990,1990,1,30.0
30,30,40,1995,1995,1,35.0
30,30,40,2000,2000,1,45.0
30,30,40,2004,2004,1,50.0
34,34,40,2007,2007,1,32.5
36,36,40,2008,2008,1,43.0
37,37,40,1997,1997,1,43.33
41,41,40,1949,1949,1,9.5
41,41,40,2001,2001,1,21.6
44,44,40,1981,1981,1,17.0
44,44,40,1998,1998,1,28.0
44,44,40,2009,2009,1,32.0
45,45,40,2003,2003,1,20.0
46,46,40,1984,1984,1,20.65
46,46,40,1988,1988,1,23.0
46,46,40,1991,1991,1,26.0
49,49,40,2009,2009,1,55.59
54,54,40,1984,1984,1,21.0
54,54,40,2010,2010,1,34.0
57,57,40,1992,1992,1,15.0
57,57,40,1999,1999,1,17.0
60,60,40,2002,2002,1,39.4
63,63,40,1997,1997,1,31.0
64,64,40,2005,2005,1,45.0
73,73,40,1949,1949,1,5.5
73,73,40,1990,1990,1,30.0
76,76,40,1950,1950,1,10.0
76,76,40,1984,1984,1,13.8
76,76,40,1987,1987,1,28.4
76,76,40,2009,2009,1,31.0
78,78,40,1991,1991,2,18.0
78,78,40,1995,1995,2,26.0
78,78,40,2003,2003,2,31.0
81,81,40,1987,1987,1,17.0
81,81,40,1988,1988,1,20.0
93,93,40,2005,2005,1,43.19
96,96,40,1993,1993,1,15.4
99,99,40,2011,2011,1,39.17
103,103,40,2007,2007,1,14.0
108,108,40,2007,2007,1,12.0
121,121,40,2001,2001,1,50.0
128,128,40,1989,1989,1,24.39
132,132,40,2010,2010,1,28.0
133,133,40,1987,1987,1,7.0
133,133,40,2002,2002,1,15.0
137,137,40,2005,2005,1,30.0
141,141,40,2010,2010,1,122.0
142,142,40,1984,1984,1,10.9
142,142,40,1996,1996,1,24.3
142,142,40,2009,2009,1,35.0
156,156,40,1992,1992,1,15.0
156,156,40,2010,2010,1,30.0
158,158,40,1989,1989,1,16.0
158,158,40,2007,2007,1,46.8
160,160,40,1998,1998,1,23.0
164,164,40,1990,1990,1,21.0
164,164,40,1995,1995,1,24.1
164,164,40,1998,1998,1,29.0
164,164,40,2000,2000,1,30.9
164,164,40,2003,2003,1,34.5
164,164,40,2004,2004,1,43.7
164,164,40,2005,2005,1,45.0
173,173,40,2008,2008,1,45.4
174,174,40,1982,1982,1,13.55
174,174,40,1984,1984,1,13.85
174,174,40,2002,2002,1,26.9
187,187,40,1998,1998,1,34.0
192,192,40,2007,2007,1,72.0
201,201,40,1992,1992,1,50.0
215,215,40,1949,1949,1,2.1
215,215,40,2001,2001,1,31.46
218,218,40,1951,1951,1,16.0
218,218,40,1984,1984,1,22.1
219,219,40,2000,2000,1,20.0
219,219,40,2010,2010,1,30.0
221,221,40,2011,2011,1,52.9
228,228,40,2010,2010,1,45.0
229,229,40,1950,1950,1,11.0
229,229,40,2007,2007,1,30.0
234,234,40,1953,1953,1,6.84
234,234,40,2003,2003,1,65.0
242,242,40,1989,1989,1,40.0
242,242,40,2010,2010,1,60.0
245,245,40,1996,1996,1,18.6
247,247,40,2010,2010,1,41.44
249,249,40,1977,1977,1,20.4
249,249,40,1982,1982,1,32.8
249,249,40,2012,2012,1,64.18
250,250,40,2010,2010,1,85.9
253,253,40,2011,2011,1,70.13
260,260,40,1949,1949,1,11.5
260,260,40,1978,1978,1,14.6
260,260,40,1992,1992,1,59.3
260,260,40,1999,1999,1,74.84
266,266,40,1957,1957,1,10.5
266,266,40,1965,1965,1,28.5
266,266,40,1979,1979,1,32.0
266,266,40,2012,2012,1,42.0
267,267,40,2014,2014,1,68.0
271,271,40,1949,1949,1,8.0
271,271,40,2000,2000,1,60.0
275,275,40,1985,1985,1,13.0
275,275,40,1990,1990,1,21.0
275,275,40,2010,2010,1,45.0
276,276,40,1981,1981,1,10.48
276,276,40,1982,1982,1,9.82
276,276,40,1983,1983,1,11.2
276,276,40,1984,1984,1,10.5
276,276,40,1985,1985,1,11.56
276,276,40,1986,1986,1,11.71
276,276,40,1987,1987,1,16.32
276,276,40,1988,1988,1,17.92
276,276,40,1989,1989,1,18.74
276,276,40,1990,1990,1,17.15
276,276,40,1991,1991,1,17.17
276,276,40,1992,1992,1,17.49
276,276,40,1993,1993,1,17.53
276,276,40,1994,1994,1,17.47
276,276,40,1995,1995,1,18.54
276,276,40,1996,1996,1,18.91
276,276,40,2001,2001,1,27.05
276,276,40,2006,2006,1,16.18
288,288,40,1961,1961,1,25.0
288,288,40,2013,2013,1,62.9
289,289,40,2007,2007,1,30.0
291,291,40,1970,1970,1,12.0
291,291,40,1985,1985,1,18.0
291,291,40,2002,2002,1,22.0
293,293,40,2015,2015,1,52.0
296,296,40,2005,2005,1,21.0
302,302,40,1988,1988,1,23.6
306,306,40,1951,1951,1,15.0
306,306,40,2012,2012,1,45.0
309,309,40,1981,1981,1,23.12
309,309,40,1996,1996,1,40.0
309,309,40,2010,2010,1,56.0
310,310,40,1999,1999,1,30.0
313,313,40,2009,2009,1,35.0
314,314,40,2013,2013,1,447.03
316,316,40,1950,1950,1,5.9
316,316,40,1998,1998,1,27.0
318,318,40,1993,1993,1,36.0
322,322,40,2014,2014,1,67.5
324,324,40,2001,2001,1,25.7
325,325,40,2002,2002,1,23.8
327,327,40,2014,2014,1,28.0
329,329,40,1981,1981,1,15.63
329,329,40,1991,1991,1,20.94
329,329,40,2004,2004,1,21.84
333,333,40,1994,1994,1,24.0
333,333,40,2012,2012,1,99.5
334,334,40,2008,2008,1,50.0
337,337,40,1949,1949,1,8.74
337,337,40,1994,1994,1,32.4
337,337,40,1999,1999,1,46.38
337,337,40,2013,2013,1,54.16
342,342,40,1981,1981,1,18.0
342,342,40,2010,2010,1,36.0
348,348,40,1992,1992,1,37.2
349,349,40,1949,1949,1,8.0
349,349,40,1990,1990,1,13.4
356,356,40,2008,2008,1,25.8
368,368,40,2005,2005,1,100.0
369,369,40,2000,2000,1,43.82
374,374,40,2010,2010,1,62.0
379,379,40,2003,2003,1,80.0
383,383,40,1950,1950,1,7.0
383,383,40,1988,1988,1,16.14
383,383,40,1990,1990,1,24.1
388,388,40,1981,1981,1,11.1
388,388,40,1982,1982,1,14.7
388,388,40,1983,1983,1,17.5
388,388,40,1984,1984,1,15.2
388,388,40,1985,1985,1,16.5
388,388,40,1986,1986,1,16.6
388,388,40,1987,1987,1,18.5
388,388,40,1988,1988,1,19.9
388,388,40,1989,1989,1,21.2
388,388,40,1990,1990,1,21.4
391,391,40,1980,1980,1,39.98
391,391,40,2013,2013,1,98.1
400,400,40,2013,2013,1,42.3
400,400,40,2014,2014,1,43.0
400,400,40,2015,2015,1,45.5
400,400,40,2016,2016,1,49.5
406,406,40,1991,1991,1,18.22
409,409,40,1997,1997,1,20.16
419,419,40,1993,1993,1,91.8
419,419,40,1998,1998,1,128.1
431,431,40,1980,1980,1,8.6
431,431,40,1981,1981,1,9.6
431,431,40,1982,1982,1,11.1
431,431,40,1983,1983,1,12.2
431,431,40,1984,1984,1,12.1
