id,name,parentId
1,汉族 Han,NULL
2,壮族 Zhuang,NULL
3,回族 Hui,NULL
4,满族 Manchu,NULL
5,维吾尔族 Uyghur,NULL
6,苗族 Miao,NULL
7,彝族 Yi,NULL
8,土家族 Tujia,NULL
9,藏族 Tibetan,NULL
10,蒙古族 Mongolian,NULL
11,侗族 Dong,NULL
12,布依族 Bouyei,NULL
13,瑶族 Yao,NULL
14,白族 Bai,NULL
15,朝鲜族 Korean/Choson,NULL
16,哈尼族 Ho /Hani,NULL
17,黎族 Li,NULL
18,哈萨克族 Kazakh,NULL
19,傣族 Dai,NULL
20,畲族 She,NULL
21,傈僳族 Lisu,NULL
22,东乡族 Dongxiang,NULL
23,仡佬族 Gelao,NULL
24,拉祜族 Lahu,NULL
25,佤族 Wa,NULL
26,水族 Sui,NULL
27,纳西族 Nakhi/Naxi,NULL
28,羌族 Qiang,NULL
29,土族 Tu,NULL
30,仫佬族 Mulao,NULL
31,锡伯族 Xibe,NULL
32,柯尔克孜族 Kyrgyz,NULL
33,景颇族 Jingpo,NULL
34,达斡尔族 Daur,NULL
35,撒拉族 Salar,NULL
36,布朗族 Blang,NULL
37,毛南族 Maonan,NULL
38,塔吉克族 Tajik,NULL
39,普米族 Pumi,NULL
40,阿昌族 Achang,NULL
41,怒族 Nu,NULL
42,鄂温克族 Evenki/Ewenki,NULL
43,京族 Gin,NULL
44,基诺族 Jino,NULL
45,德昂族 De'ang/Deang,NULL
46,保安族 Bonan,NULL
47,俄罗斯族 Russian,NULL
48,裕固族 Yugur,NULL
49,乌兹别克族 Uzbek,NULL
50,门巴族 Monba,NULL
51,鄂伦春族 Oroqen,NULL
52,独龙族 Dereng,NULL
53,赫哲族 Hezhen,NULL
54,高山族 Gaoshan,NULL
55,珞巴族 Lhoba,NULL
56,塔塔尔族 Tatar,NULL
57,少数民族 (总) Ethnic Minorities (total),NULL
