gazetteerId,villageInnerId,categoryId,startYear,endYear,unitId,data
675,675,43,1949,1949,1,NULL
675,675,43,1950,1950,1,NULL
675,675,43,1951,1951,1,NULL
675,675,43,1952,1952,1,NULL
675,675,43,1953,1953,1,NULL
675,675,43,1954,1954,1,NULL
675,675,43,1955,1955,1,NULL
675,675,43,1956,1956,1,NULL
675,675,43,1957,1957,1,NULL
675,675,43,1958,1958,1,NULL
675,675,43,1959,1959,1,NULL
675,675,43,1960,1960,1,NULL
675,675,43,1961,1961,1,NULL
675,675,43,1962,1962,1,NULL
675,675,43,1963,1963,1,NULL
675,675,43,1964,1964,1,NULL
675,675,43,1965,1965,1,NULL
675,675,43,1966,1966,1,NULL
675,675,43,1967,1967,1,NULL
675,675,43,1968,1968,1,NULL
675,675,43,1969,1969,1,NULL
675,675,43,1970,1970,1,NULL
675,675,43,1971,1971,1,NULL
675,675,43,1972,1972,1,NULL
675,675,43,1973,1973,1,NULL
675,675,43,1974,1974,1,NULL
675,675,43,1975,1975,1,NULL
675,675,43,1976,1976,1,NULL
675,675,43,1977,1977,1,NULL
675,675,43,1978,1978,1,NULL
675,675,43,1979,1979,1,NULL
675,675,43,1980,1980,1,NULL
675,675,43,1981,1981,1,NULL
675,675,43,1982,1982,1,NULL
675,675,43,1983,1983,1,NULL
675,675,43,1984,1984,1,NULL
675,675,43,1985,1985,1,NULL
675,675,43,1986,1986,1,NULL
675,675,43,1987,1987,1,NULL
675,675,43,1988,1988,1,NULL
675,675,43,1989,1989,1,NULL
675,675,43,1990,1990,1,NULL
675,675,43,1991,1991,1,NULL
675,675,43,1992,1992,1,NULL
675,675,43,1993,1993,1,NULL
675,675,43,1994,1994,1,NULL
675,675,43,1995,1995,1,NULL
675,675,43,1996,1996,1,NULL
675,675,43,1997,1997,1,NULL
675,675,43,1998,1998,1,NULL
675,675,43,1999,1999,1,NULL
675,675,43,2000,2000,1,NULL
675,675,43,2001,2001,1,NULL
675,675,43,2002,2002,1,NULL
675,675,43,2003,2003,1,NULL
675,675,43,2004,2004,1,NULL
675,675,43,2005,2005,1,NULL
675,675,43,2006,2006,1,NULL
675,675,43,2007,2007,1,NULL
675,675,43,2008,2008,1,NULL
675,675,43,2009,2009,1,NULL
675,675,43,2010,2010,1,NULL
675,675,43,2011,2011,1,NULL
675,675,43,2012,2012,1,NULL
675,675,43,2013,2013,1,NULL
675,675,43,2014,2014,1,NULL
675,675,43,2015,2015,1,1.0
675,675,43,2016,2016,1,NULL
675,675,43,2017,2017,1,NULL
675,675,43,2018,2018,1,NULL
675,675,43,2019,2019,1,NULL
886,886,43,1949,1949,1,NULL
886,886,43,1950,1950,1,NULL
886,886,43,1951,1951,1,NULL
