gazetteerId,villageInnerId,categoryId,startYear,endYear,unitId,data
2,2,8,2006,2006,1,279.0
4,4,8,1987,1987,1,383.0
4,4,8,1988,1988,1,372.0
4,4,8,1989,1989,1,364.0
4,4,8,1990,1990,1,350.0
4,4,8,1991,1991,1,129.0
4,4,8,1992,1992,1,22.0
4,4,8,1993,1993,1,22.0
4,4,8,1994,1994,1,42.0
4,4,8,1995,1995,1,56.0
4,4,8,1996,1996,1,75.0
4,4,8,1997,1997,1,111.0
4,4,8,1998,1998,1,146.0
4,4,8,1999,1999,1,107.0
4,4,8,2000,2000,1,125.0
4,4,8,2001,2001,1,98.0
4,4,8,2002,2002,1,124.0
4,4,8,2003,2003,1,165.0
4,4,8,2004,2004,1,161.0
4,4,8,2005,2005,1,151.0
4,4,8,2006,2006,1,139.0
4,4,8,2007,2007,1,64.0
9,9,8,2007,2007,1,152.0
13,13,8,1990,1990,1,289.0
13,13,8,2003,2003,1,459.0
13,13,8,2004,2004,1,452.0
14,14,8,2000,2000,1,151.0
30,30,8,2004,2004,1,28.0
31,31,8,2007,2007,1,92.0
31,31,8,2009,2009,1,26.0
34,34,8,1980,1980,1,243.0
34,34,8,1981,1981,1,241.0
34,34,8,1982,1982,1,240.0
34,34,8,1983,1983,1,235.0
34,34,8,1984,1984,1,230.0
34,34,8,1985,1985,1,227.0
34,34,8,1986,1986,1,234.0
34,34,8,1987,1987,1,236.0
34,34,8,1988,1988,1,237.0
34,34,8,1989,1989,1,239.0
34,34,8,1990,1990,1,238.0
34,34,8,1991,1991,1,241.0
34,34,8,1992,1992,1,238.0
34,34,8,1993,1993,1,236.0
34,34,8,1994,1994,1,236.0
34,34,8,1995,1995,1,238.0
34,34,8,1996,1996,1,237.0
34,34,8,1997,1997,1,243.0
34,34,8,1998,1998,1,241.0
34,34,8,1999,1999,1,240.0
34,34,8,2000,2000,1,236.0
34,34,8,2001,2001,1,234.0
34,34,8,2002,2002,1,237.0
34,34,8,2003,2003,1,239.0
34,34,8,2004,2004,1,238.0
34,34,8,2005,2005,1,237.0
34,34,8,2006,2006,1,239.0
34,34,8,2007,2007,1,237.0
34,34,8,2008,2008,1,239.0
37,37,8,1992,1992,1,41.0
37,37,8,1993,1993,1,48.0
37,37,8,1994,1994,1,55.0
37,37,8,1995,1995,1,39.0
37,37,8,1996,1996,1,31.0
37,37,8,1997,1997,1,46.0
41,41,8,1995,1995,1,12.0
44,44,8,1984,1984,1,40.0
44,44,8,1985,1985,1,171.0
44,44,8,1995,1995,1,42.0
44,44,8,2000,2000,1,109.0
44,44,8,2006,2006,1,270.0
44,44,8,2009,2009,1,375.0
46,46,8,1981,1981,1,40.0
50,50,8,1990,1990,1,485.0
50,50,8,1991,1991,1,502.0
50,50,8,1992,1992,1,512.0
50,50,8,1993,1993,1,506.0
50,50,8,1994,1994,1,532.0
50,50,8,1995,1995,1,528.0
50,50,8,1996,1996,1,500.0
50,50,8,1997,1997,1,508.0
50,50,8,1998,1998,1,494.0
50,50,8,1999,1999,1,510.0
50,50,8,2000,2000,1,545.0
50,50,8,2001,2001,1,557.0
50,50,8,2002,2002,1,564.0
50,50,8,2003,2003,1,526.0
50,50,8,2004,2004,1,562.0
50,50,8,2005,2005,1,623.0
50,50,8,2006,2006,1,680.0
50,50,8,2007,2007,1,722.0
50,50,8,2008,2008,1,775.0
50,50,8,2009,2009,1,800.0
50,50,8,2010,2010,1,838.0
53,53,8,2003,2003,1,17.0
55,55,8,1999,1999,1,8.0
55,55,8,2000,2000,1,14.0
55,55,8,2001,2001,1,14.0
55,55,8,2002,2002,1,10.0
55,55,8,2003,2003,1,20.0
55,55,8,2004,2004,1,39.0
55,55,8,2005,2005,1,11.0
55,55,8,2006,2006,1,16.0
