gazetteerId,villageInnerId,categoryId,year
22,22,1,1979
57,57,1,1968
57,57,1,1986
114,114,1,1956
114,114,1,1966
229,229,1,1986
272,272,1,2005
305,305,1,1980
321,321,1,2007
323,323,1,1969
324,324,1,1966
324,324,1,1972
373,373,1,1998
404,404,1,1954
404,404,1,1977
463,463,1,1972
511,511,1,1956
511,511,1,1964
511,511,1,1972
535,535,1,2008
543,543,1,1969
543,543,1,2008
558,558,1,1954
558,558,1,1969
558,558,1,1982
559,559,1,1954
559,559,1,1977
559,559,1,2008
560,560,1,2008
590,590,1,1954
590,590,1,2008
602,602,1,1962
602,602,1,2007
610,610,1,1954
610,610,1,1977
613,613,1,2016
638,638,1,1965
638,638,1,1980
655,655,1,2008
684,684,1,1966
768,768,1,1955
807,807,1,1977
813,813,1,1987
820,820,1,1968
828,828,1,2008
834,834,1,1954
834,834,1,1955
843,843,1,2008
864,864,1,1996
868,868,1,1964
868,868,1,1984
868,868,1,1991
868,868,1,2008
887,887,1,1987
904,904,1,1980
905,905,1,1982
908,908,1,1954
910,910,1,1966
910,910,1,1969
910,910,1,1979
937,937,1,1990
946,946,1,1991
994,994,1,1977
994,994,1,1998
1,1,2,2002
3,3,2,2008
5,5,2,1975
5,5,2,1985
6,6,2,1956
6,6,2,1977
6,6,2,1995
7,7,2,1960
7,7,2,1968
7,7,2,1976
7,7,2,1978
8,8,2,1961
8,8,2,1968
9,9,2,2003
12,12,2,1974
12,12,2,1982
13,13,2,1965
13,13,2,1976
13,13,2,1982
13,13,2,1983
14,14,2,1957
14,14,2,1965
17,17,2,1974
18,18,2,1972
18,18,2,1989
20,20,2,1952
21,21,2,1991
21,21,2,2003
22,22,2,1953
22,22,2,1959
22,22,2,1971
22,22,2,1998
23,23,2,1988
25,25,2,1959
31,31,2,1953
31,31,2,1983
37,37,2,1976
37,37,2,1986
40,40,2,1988
41,41,2,1984
42,42,2,1975
44,44,2,1998
47,47,2,1975
54,54,2,1956
57,57,2,1981
59,59,2,2001
63,63,2,1965
63,63,2,2006
64,64,2,1982
65,65,2,1956
65,65,2,1984
66,66,2,1952
66,66,2,1964
66,66,2,1969
66,66,2,1978
66,66,2,1991
66,66,2,2000
67,67,2,1979
70,70,2,1950
71,71,2,1960
71,71,2,1962
71,71,2,1984
71,71,2,1994
71,71,2,1997
73,73,2,1955
73,73,2,1956
74,74,2,1969
76,76,2,1999
77,77,2,1960
77,77,2,1962
78,78,2,1960
82,82,2,1974
83,83,2,1982
83,83,2,1985
83,83,2,1992
