gazetteerId,villageInnerId,categoryId,startYear,endYear,unitId,data
2,2,4,2007,2007,1,1496.0
3,3,4,2010,2010,1,800.0
4,4,4,1949,1949,1,724.0
4,4,4,1953,1953,1,748.0
4,4,4,1964,1964,1,897.0
4,4,4,1982,1982,1,1280.0
4,4,4,1990,1990,1,1693.0
4,4,4,2000,2000,1,1887.0
4,4,4,2007,2007,1,2165.0
5,5,4,1966,1966,1,939.0
5,5,4,1968,1968,1,1020.0
5,5,4,1969,1969,1,1024.0
5,5,4,1970,1970,1,1095.0
5,5,4,1971,1971,1,1151.0
5,5,4,1972,1972,1,1181.0
5,5,4,1973,1973,1,1210.0
5,5,4,1974,1974,1,1245.0
5,5,4,1975,1975,1,1275.0
5,5,4,1976,1976,1,1274.0
5,5,4,1977,1977,1,1282.0
5,5,4,1978,1978,1,1384.0
5,5,4,1979,1979,1,1399.0
5,5,4,1980,1980,1,1425.0
5,5,4,1981,1981,1,1446.0
5,5,4,1982,1982,1,1543.0
5,5,4,1983,1983,1,1481.0
5,5,4,1984,1984,1,1511.0
5,5,4,1985,1985,1,1527.0
5,5,4,1986,1986,1,1548.0
5,5,4,1987,1987,1,1574.0
5,5,4,1988,1988,1,1599.0
5,5,4,1989,1989,1,1625.0
5,5,4,1990,1990,1,1651.0
5,5,4,1993,1993,1,1661.0
5,5,4,1994,1994,1,1649.0
5,5,4,1995,1995,1,1653.0
5,5,4,1999,1999,1,1126.0
5,5,4,2001,2001,1,1633.0
5,5,4,2002,2002,1,1669.0
6,6,4,1976,1976,1,911.0
6,6,4,1977,1977,1,915.0
6,6,4,1978,1978,1,922.0
6,6,4,1979,1979,1,910.0
6,6,4,1980,1980,1,918.0
6,6,4,1981,1981,1,898.0
6,6,4,1982,1982,1,916.0
6,6,4,1983,1983,1,925.0
6,6,4,1984,1984,1,1002.0
6,6,4,1985,1985,1,988.0
6,6,4,1986,1986,1,1063.0
6,6,4,1987,1987,1,1072.0
6,6,4,1988,1988,1,1075.0
6,6,4,1989,1989,1,1074.0
6,6,4,1990,1990,1,1075.0
6,6,4,1991,1991,1,1076.0
6,6,4,1992,1992,1,1078.0
6,6,4,1993,1993,1,1084.0
6,6,4,1994,1994,1,1099.0
6,6,4,1995,1995,1,1070.0
6,6,4,1996,1996,1,1067.0
6,6,4,1997,1997,1,1067.0
6,6,4,1998,1998,1,1078.0
6,6,4,1999,1999,1,1080.0
6,6,4,2000,2000,1,1087.0
6,6,4,2001,2001,1,1067.0
6,6,4,2002,2002,1,1066.0
6,6,4,2003,2003,1,1119.0
6,6,4,2004,2004,1,1174.0
6,6,4,2005,2005,1,1163.0
6,6,4,2006,2006,1,1173.0
6,6,4,2007,2007,1,1192.0
6,6,4,2008,2008,1,1181.0
6,6,4,2009,2009,1,1241.0
6,6,4,2010,2010,1,1244.0
6,6,4,2011,2011,1,1253.0
7,7,4,1949,1949,1,325.0
7,7,4,1950,1950,1,338.0
7,7,4,1951,1951,1,340.0
7,7,4,1952,1952,1,348.0
7,7,4,1953,1953,1,350.0
7,7,4,1954,1954,1,356.0
7,7,4,1955,1955,1,362.0
7,7,4,1956,1956,1,366.0
7,7,4,1957,1957,1,370.0
7,7,4,1958,1958,1,374.0
7,7,4,1959,1959,1,370.0
7,7,4,1960,1960,1,360.0
7,7,4,1961,1961,1,353.0
7,7,4,1962,1962,1,375.0
7,7,4,1963,1963,1,400.0
7,7,4,1964,1964,1,427.0
7,7,4,1965,1965,1,436.0
7,7,4,1966,1966,1,461.0
7,7,4,1967,1967,1,463.0
7,7,4,1968,1968,1,467.0
7,7,4,1969,1969,1,492.0
7,7,4,1970,1970,1,483.0
7,7,4,1971,1971,1,508.0
7,7,4,1972,1972,1,521.0
7,7,4,1973,1973,1,539.0
7,7,4,1974,1974,1,554.0
7,7,4,1975,1975,1,566.0
7,7,4,1976,1976,1,566.0
7,7,4,1977,1977,1,571.0
7,7,4,1978,1978,1,561.0
7,7,4,1979,1979,1,552.0
7,7,4,1980,1980,1,548.0
7,7,4,1981,1981,1,550.0
7,7,4,1982,1982,1,577.0
7,7,4,1983,1983,1,569.0
7,7,4,1984,1984,1,570.0
7,7,4,1985,1985,1,622.0
7,7,4,1986,1986,1,623.0
7,7,4,1987,1987,1,630.0
7,7,4,1988,1988,1,620.0
7,7,4,1989,1989,1,648.0
7,7,4,1990,1990,1,658.0
7,7,4,1991,1991,1,669.0
7,7,4,1992,1992,1,674.0
7,7,4,1993,1993,1,681.0
7,7,4,1994,1994,1,707.0
7,7,4,1995,1995,1,718.0
7,7,4,1996,1996,1,719.0
7,7,4,1997,1997,1,707.0
7,7,4,1998,1998,1,699.0
7,7,4,1999,1999,1,700.0
7,7,4,2000,2000,1,719.0
7,7,4,2001,2001,1,720.0
8,8,4,1990,1990,1,1244.0
