id,name,pinyin
1,上海市,Shanghai Shi
2,云南省,Yunnan Sheng
3,内蒙古自治区,Neimenggu Zizhiqu
4,北京市,Beijing Shi
5,吉林省,Jilin Sheng
6,四川省,Sichuan Sheng
7,天津市,Tianjin Shi
8,宁夏回族自治区,Ningxia Huizu Zizhiqu
9,安徽省,Anhui Sheng
10,山东省,Shandong Sheng
11,山西省,Shanxi Sheng
12,广东省,Guangdong Sheng
13,广西壮族自治区,Guangxi Zhuangzu Zizhiqu
14,新疆维吾尔自治区,Xinjiang Weiwu'er Zizhiqu
15,江苏省,Jiangsu Sheng
16,江西省,Jiangxi Sheng
17,河北省,Hebei Sheng
18,河南省,Henan Sheng
19,浙江省,Zhejiang Sheng
20,海南省,Hainan Sheng
21,湖北省,Hubei Sheng
22,湖南省,Hunan Sheng
23,甘肃省,Gansu Sheng
24,福建省,Fujian Sheng
25,贵州省,Guizhou Sheng
26,辽宁省,Liaoning Sheng
27,重庆市,Chongqing Shi
28,陕西省,Shanxi Sheng
29,青海省,Qinghai Sheng
30,香港特别行政区,Xianggang Tebie Xingzhengqu
31,黑龙江省,Heilongjiang Sheng
