villageInnerId_村庄内部代码,gazetteerId_村志代码,villageId_村庄代码,nameChineseCharacters_村名汉字,nameHanyuPinyin_村名汉语拼音
1,1,411082100218,太平店村,Taipingdian Cun
2,2,420116403201,叶店村,Yedian Cun
3,3,522328102210,马鞭田村,Mabiantian Cun
4,4,450107002201,万秀村,Wanxiu Cun
5,5,130632200207,光淀村,Guangdian Cun
6,6,130522201225,方等村,Fangdeng Cun
7,7,NULL,渔津洼村,Yujinwa Cun
8,8,532530101211,板板桥村,Banbanqiao Cun
9,9,130535100213,仓上村,Cangshang Cun
10,10,110105038210,草场地村,Caochangdi Cun
11,11,441900110202,桥梓村,Qiaozi Cun
12,12,NULL,东侯坊村,Donghoufang Cun
13,13,110106202201,黄土岗村,Huangtugang Cun
14,14,410581106229,桑耳庄村,Sang'erzhuang Cun
15,15,110111209207,三合村,Sanhe Cun
16,16,NULL,上梅林村,Shangmeilin Cun
17,17,110114007206,单家村,Shanjia Cun
18,18,370687001201,生产村,Shengchan Cun
19,19,310120501203,树园村,Shuyuan Cun
20,20,110115005206,西黄村,Xihuang Cun
21,21,110111110212,张坊村,Zhangfang Cun
22,22,370921107223,张家圩子村,Zhangjiaweizi Cun
23,23,350702105207,凤池村,Fengchi Cun
24,24,440306007015,楼村,Lou Cun
25,25,520121206201,马头村,Matou Cun
26,26,450109100203,孟莲村,Menglian Cun
27,27,460201104001,马岭村,Maling Cun
28,28,350822103222,莲塘村,Liantang Cun
29,29,NULL,刘国忠村,Liuguozhong Cun
30,30,520402006203,管元村,Guanyuan Cun
31,31,130107101003,南凤山村,Nanfengshan Cun
32,32,310112107204,井亭村,Jingting Cun
33,33,130129100206,见守村,Jianshou Cun
34,34,220105100208,胡家村,Hujia Cun
35,35,350212108003,洪塘头村,Hongtangtou Cun
36,36,320412100223,周家巷村,Zhoujiaxiang Cun
37,37,610303100007,联盟村,Lianmeng Cun
38,38,130983204216,梁口村,Liangkou Cun
39,39,310230113210,骏马村,Junma Cun
40,40,430702205205,金家坪村,Jinjiaping Cun
41,41,469023100204,博谭村,Botan Cun
42,42,310112107205,新桥村,Xinqiao Cun
43,43,110108104213,草厂村,Caochang Cun
44,44,410526201201,大吕庄村,Dalüzhuang Cun
45,45,620724201200,定安村,Ding'an Cun
46,46,210212400204,方家村,Fangjia Cun
47,47,310120502002,冯桥村,Fengqiao Cun
48,48,110106201215,小瓦窑村,Xiaowayao Cun
49,49,330621103235,富强村,Fuqiang Cun
50,50,350181007201,音西村,Yinxi Cun
51,51,445221112203,潭前王村,Tanqianwang Cun
52,52,210212012206,郭家沟村,Guojiagou Cun
53,53,320412109234,牟家村,Moujia Cun
54,54,410523204205,西官庄村,Xiguanzhuang Cun
55,55,350111101201,西园村,Xiyuan Cun
56,56,NULL,沐陂村,Mubei Cun
57,57,420626107221,尧治河村,Yaozhihe Cun
58,58,210212013204,袁家沟村,Yuanjiagou Cun
59,59,410883100218,云水村,Yunshui Cun
60,60,440605125226,平地村,Pingdi Cun
61,61,130604200205,西高庄村,Xigaozhuang Cun
62,62,420114070220,新华村,Xinhua Cun
63,63,410581106218,盘山村,Panshan Cun
64,64,110106201203,三路居村,Sanluju Cun
65,65,110116103202,仙台村,Xiantai Cun
66,66,110111208202,四马台村,Simatai Cun
67,67,130429200212,西洞头村,Xidongtou Cun
68,68,522629104218,五河苗族村,Wuhe Miaozu Cun
69,69,610112002201,五一村,Wuyi Cun
70,70,140322101211,乌玉村,Wuyu Cun
71,71,210212005200,前夹山村,Qianjiashan Cun
72,72,330108003201,浦联村,Pulian Cun
73,73,370783006232,三元朱村,Sanyuanzhu Cun
74,74,110114113205,上东廓村,Shangdongkuo Cun
75,75,320581100015,琴湖村,Qinhu Cun
76,76,110115111210,沁水营村,Qinshuiying Cun
77,77,210212400200,三洋村,Sanyang Cun
78,78,210212005202,三八里村,Sanbali Cun
79,79,330303001220,坦头村,Tantou Cun
80,80,610112002221,新店村,Xindian Cun
81,81,370983102210,北仪仙村,Beiyixian Cun
82,82,NULL,北良侯村,Beilianghou Cun
83,83,140522102202,柏沟村,Bogou Cun
84,84,451228204203,三力村,Sanli Cun
85,85,NULL,马鼻村,Mabi Cun
86,86,NULL,石䧱村,Shikuan Cun
87,87,341824102204,坦头村,Tantou Cun
88,88,120112102202,传字营村,Chuanziying Cun
89,89,120110005201,新立村,Xinli Cun
90,90,450902004208,高山村,Gaoshan Cun
91,91,530111008204,福保村,Fubao Cun
92,92,451226101002,上南村,Shangnan Cun
93,93,120113111206,霍庄子村,Huozhuangzi Cun
94,94,140521104201,长畛村,Changzhen Cun
95,95,510503109202,大河村,Dahe Cun
96,96,120111100216,大蒋庄村,Dajiangzhuang Cun
97,97,510131102212,插旗山村,Chaqishan Cun
98,98,530111001004,福德村,Fude Cun
99,99,532901108203,银桥村,Yinqiao Cun
100,100,640425101219,崖堡村,Yabao Cun
101,101,450222100206,龙台村,Longtai Cun
102,102,450222100208,洛古村,Luogu Cun
103,103,450222100215,吉兆村,Jizhao Cun
104,104,450222101208,码头村,Matou Cun
105,105,450222102205,黄宜村,Huangyi Cun
106,106,450222102212,山咀村,Shanzui Cun
107,107,450222103204,六广村,Liuguang Cun
108,108,450222104210,莫道村,Modao Cun
109,109,450222104215,走马村,Zouma Cun
110,110,450222104211,新龙村,Xinlong Cun
111,111,450222105201,二塘村,Ertang Cun
112,112,450222202202,社冲村,Shechong Cun
113,113,620123207201,东古城村,Donggucheng Cun
114,114,371324112209,涌泉村,Yongquan Cun
115,115,330602106202,荷湖村,Hehu Cun
116,116,520330201207,青峰村,Qingfeng Cun
117,117,231221203201,正蓝前二村,Zhenglanqianer Cun
118,118,420704001205,百子畈村,Baizifan Cun
119,119,421087112218,三堰淌村,Sanyantang Cun
120,120,150722106211,小库木尔村,Xiaokumuer Cun
121,121,469023101003,马村,Ma Cun
123,123,NULL,小三家子村,Xiaosanjiazi Cun
124,124,620121200201,复兴村,Fuxing Cun
125,125,430821100248,长见村,Changjian Cun
126,126,469023101213,文大村,Wenda Cun
127,127,NULL,浪营村,Langying Cun
128,128,330881118260,白沙村,Baisha Cun
129,129,632123103001,高庙村,Gaomiao Cun
130,130,632128200201,起台堡村,Qitaibao Cun
131,131,341522105216,双庄村,Shuangzhuang Cun
132,132,370213009001,毕家上流村,Bijiashangliu Cun
133,133,120113100204,天穆村,Tianmu Cun
134,134,640423209204,梁堡村,Liangbao Cun
135,135,150221215200,苏波盖村,Subogai Cun
136,136,469027108212,丹村,Dan Cun
137,137,433123101209,菖蒲塘村,Changputang Cun
138,138,140823102222,东颜村,Dongyan Cun
139,139,522628104207,魁胆村,Kuidan Cun
140,140,522628202200,隆里所村,Longlisuo Cun
141,141,150402010202,大三家村,Dasanjia Cun
142,142,640121100205,纳家户村,Najiahu Cun
143,143,222404101206,防川村,Fangchuan Cun
144,144,341824103200,上庄村,Shangzhuang Cun
145,145,510112109211,宝狮村,Baoshi Cun
146,146,511902216200,凤凰庙村,Fenghuangmiao Cun
147,147,341021201210,卖花渔村,Maihuayu Cun
148,148,150123203203,西厂圪洞村,Xichanggedong Cun
149,149,630105100201,严小村,Yanxiao Cun
150,150,320903110007,宝才村,Baocai Cun
151,151,130185105202,宜安村,Yian Cun
152,152,NULL,传桂村,Chuangui Cun
153,153,360781200200,叶坪村,Yeping Cun
154,154,NULL,马路村,Malu Cun
156,156,431121100214,百花村,Baihua Cun
157,157,500106014202,上桥村,Shangqiao Cun
158,158,420704102203,茅草村,Maocao Cun
159,159,610113004200,北山门口村,Beishanmenkou Cun
160,160,NULL,逯家寨村,Lujiazhai Cun
161,161,522625102204,鸡鸣村,Jiming Cun
162,162,522628103210,丁达村,Dingda Cun
163,163,NULL,莲麻坑村,Lianmakeng Cun
164,164,620722105200,八卦营村,Baguaying Cun
165,165,361130103212,大畈村,Dafan Cun
166,166,120110006208,赤土村,Chitu Cun
167,167,150102008210,南店村,Nandian Cun
168,168,150429103206,杨树林子村,Yangshulinzi Cun
169,169,220211200200,永庆村,Yongqing Cun
170,170,630105100204,鲍家寨村,Baojiazhai Cun
171,171,420581101210,青林寺村,Qinglinsi Cun
172,172,620724201201,定平村,Dingping Cun
173,173,511602102212,果山村,Guoshan Cun
174,174,330783107246,蔡宅村,Caizhai Cun
176,176,640324203208,汪家塬村,Wangjiayuan Cun
177,177,530112006001,船房村,Chuanfang Cun
178,178,120113102210,双街村,Shuangjie Cun
179,179,451421203202,木民村,Mumin Cun
180,180,231084100203,红城村,Hongcheng Cun
181,181,440604011212,弼唐村,Bitang Cun
183,183,130983103217,旧城村,Jiucheng Cun
184,184,NULL,横西村,Hengxi Cun
185,185,460105100212,镇海村,Zhenhai Cun
186,186,433130206211,白岩洞村,Baiyandong Cun
187,187,410782103001,百泉村,Baiquan Cun
188,188,440811100205,调塾村,Tiaoshu Cun
189,189,131026102207,苑口村,Yuankou Cun
190,190,130302101019,范家店村,Fanjiadian Cun
191,191,440306007007,塘尾村,Tangwei Cun
192,192,610112002200,三桥村,Sanqiao Cun
193,193,440781106212,唐美村,Tangmei Cun
194,194,331124206200,界首村,Jieshou Cun
195,195,532901104202,珂里庄村,Kelizhuang Cun
196,196,610826106200,吉镇村,Jizhen Cun
197,197,140431104209,贤友村,Xianyou Cun
198,198,610830101221,徐家河村,Xujiahe Cun
199,199,320581100228,勤丰村,Qinfeng Cun
200,200,610113002203,观音庙村,Guanyinmiao Cun
201,201,320582106210,永联村,Yonglian Cun
203,203,110228101204,石马峪村,Shimayu Cun
204,204,530423105203,者湾村,Zhewan Cun
205,205,511126101203,黄土村,Huangtu Cun
206,206,532901104207,上关村,Shangguan Cun
207,207,510114103218,兴堰村,Xingyan Cun
208,208,510108013004,人民塘村,Renmintang Cun
209,209,530111006004,海东村,Haidong Cun
210,210,530421101201,三街村,Sanjie Cun
211,211,530521103206,山邑村,Shanyi Cun
212,212,510115101223,石坝村,Shiba Cun
213,213,510184119214,群安村,Qun'an Cun
214,214,530111005005,云溪村,Yunxi Cun
215,215,530127101224,龙街村,Longjie Cun
216,216,510181105228,金陵村,Jinling Cun
217,217,510122121208,瓦窑村,Wayao Cun
218,218,310112102203,九星村,Jiuxing Cun
219,219,533325101201,金凤村,Jinfeng Cun
220,220,532530202209,董棕河村,Dongzonghe Cun
221,221,310120118214,南胜村,Nansheng Cun
222,222,110108103201,唐家岭村,Tangjialing Cun
223,223,NULL,水闸口村,Shuizhakou Cun
224,224,110116004210,柏崖厂村,Baiyachang Cun
225,225,110107004010,古城村,Gucheng Cun
226,226,532901001201,天井村,Tianjing Cun
227,227,110115005233,后辛庄村,Houxinzhuang Cun
228,228,310115125220,环东村,Huandong Cun
229,229,530127104204,上马坊村,Shangmafang Cun
230,230,NULL,果园村,Guoyuan Cun
231,231,310115133206,众安村,Zhongan Cun
232,232,110106201201,马连道村,Maliandao Cun
233,233,NULL,棠东村,Tangdong Cun
234,234,441900111225,小坑村,Xiaokeng Cun
235,235,530524101202,勐廷村,Mengting Cun
236,236,110113113206,榆林村,Yulin Cun
238,238,310115103227,界龙村,Jielong Cun
239,239,530126101218,北山村,Beishan Cun
241,241,110105027202,龙爪树村,Longzhuashu Cun
242,242,310116109209,横浦村,Hengpu Cun
243,243,110111009200,南韩继村,Nanhanji Cun
244,244,310120102220,盐行村,Yanhang Cun
245,245,330382114208,上园村,Shangyuan Cun
246,246,310116109212,卫通村,Weitong Cun
247,247,310116104215,亭北村,Tingbei Cun
248,248,110112119219,东夏园村,Dongxiayuan Cun
249,249,310112103210,北桥村,Beiqiao Cun
250,250,310116101222,慧农村,Huinong Cun
251,251,532931101214,双河村,Shuanghe Cun
252,252,110111212211,金鸡台村,Jinjitai Cun
253,253,310118105216,崧泽村,Songze Cun
254,254,310116104204,亭东村,Tingdong Cun
255,255,310116101203,民主村,Minzhu Cun
256,256,110111009212,黄山店村,Huangshandian Cun
257,257,310112108202,华一村,Huayi Cun
258,258,530111006008,罗衙村,Luoya Cun
259,259,533325101002,江头河村,Jiangtouhe Cun
260,260,310114109203,钱桥村,Qianqiao Cun
261,261,140722200200,寒王村,Hanwang Cun
262,262,441900102202,新维村,Xinwei Cun
263,263,130181204226,东张口村,Dongzhangkou Cun
264,264,350105101216,长安村,Chang'an Cun
265,265,130481103402,磁山村,Cishan Cun
266,266,430703115203,洞阳观村,Dongyangguan Cun
267,267,610581002204,晨钟村,Chenzhong Cun
268,268,410306200200,北陈村,Beichen Cun
269,269,350823104206,南坑村,Nankeng Cun
270,270,330781200206,洞源村,Dongyuan Cun
271,271,610524100201,东街村,Dongjie Cun
272,272,430923103234,芙蓉村,Furong Cun
273,273,350121201213,超墘村,Chaoqian Cun
274,274,440306004006,怀德村,Huaide Cun
275,275,210212400205,高家村,Gaojia Cun
276,276,210212400206,大潘家村,Dapanjia Cun
277,277,370285107236,东大寨村,Dongdazhai Cun
278,278,330621106205,国际村,Guoji Cun
279,279,621121206207,黑石头村,Heishitou Cun
280,280,130421200218,北寨张村,Beizhaizhang Cun
281,281,210522110209,碑登村,Beideng Cun
282,282,330782004007,何麻车村,Hemache Cun
283,283,130426106201,固新村,Guxin Cun
285,285,441900110212,土塘村,Tutang Cun
286,286,110106201213,大井村,Dajing Cun
287,287,310116113208,东方村,Dongfang Cun
288,288,430702101213,枫树岗村,Fengshugang Cun
289,289,350122104201,百胜村,Baisheng Cun
290,290,211322004207,大板沟村,Dabangou Cun
291,291,370681101227,官曲村,Guanqu Cun
292,292,411222102209,凡村,Fan Cun
